cs	cs	c
.	.	.
utexas	utexa	utexas
.	.	.
edu	edu	edu
!	!	!
geraldo	geraldo	geraldo
.	.	.
cc	cc	cc
.	.	.
utexas	utexa	utexas
.	.	.
edu	edu	edu
!	!	!
portal	portal	portal
.	.	.
austin	austin	austin
.	.	.
ibm	ibm	ibm
.	.	.
com	com	com
!	!	!
awdprime	awdprim	awdprime
.	.	.
austin	austin	austin
.	.	.
ibm	ibm	ibm
.	.	.
com	com	com
!	!	!
zazen	zazen	zazen
subject	subject	subject
:	:	:
re	re	re
:	:	:
radical	radic	radical
agnostic	agnost	agnostic
.	.	.
.	.	.
.	.	.

not	not	not
!	!	!

from	from	from
:	:	:
zazen@austin.ibm.com	zazen@austin.ibm.com	zazen@austin.ibm.com
(	(	(
e	e	e
.	.	.
h	h	h
.	.	.
welbon	welbon	welbon
)	)	)

organization	organ	organization
:	:	:
brownian	brownian	brownian
motion	motion	motion
inc	inc	inc
.	.	.

x	x	x
-	-	-
newsreader	newsread	newsreader
:	:	:
tin	tin	tin
[	[	[
version	version	version
1	1	1
.	.	.
1	1	1
pl9	pl9	pl9
]	]	]
lines	line	line
:	:	:
34	34	34

the	the	the
one	one	one
and	and	and
only	onli	only
(	(	(
jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu
)	)	)
wrote	wrote	wrote
:	:	:

:	:	:
in	in	in
article	articl	article
<	<	<
dl2021-310393180711@m249-66.bgsu.edu	dl2021-310393180711@m249-66.bgsu.edu	dl2021-310393180711@m249-66.bgsu.edu
>	>	>
dl2021@andy.bgsu.edu	dl2021@andy.bgsu.edu	dl2021@andy.bgsu.edu
(	(	(
pixie	pixi	pixie
)	)	)
writes	write	writes
:	:	:

:	:	:
[	[	[
first	first	first
post	post	post
i	i	i
'	'	'
ve	ve	ve
seen	seen	seen
from	from	from
the	the	the
ol	ol	ol
'	'	'
bug	bug	bug
-	-	-
zoo	zoo	zoo
(	(	(
bgsu	bgsu	bgsu
)	)	)
]	]	]

:	:	:
>	>	>
there	there	there
is	is	is
no	no	no
means	mean	mean
that	that	that
i	i	i
can	can	can
possibly	possibl	possibly
think	think	think
of	of	of
to	to	to
prove	prove	prove
beyond	beyond	beyond
doubt	doubt	doubt

:	:	:
>	>	>
that	that	that
a	a	a
god	god	god
does	doe	doe
not	not	not
exist	exist	exist
(	(	(
but	but	but
if	if	if
anyone	anyon	anyone
has	has	ha
one	one	one
,	,	,
by	by	by
all	all	all
means	mean	mean
,	,	,
tell	tell	tell
me	me	me

:	:	:
>	>	>
what	what	what
it	it	it
is	is	is
)	)	)
.	.	.

therefore	therefor	therefore
,	,	,
lacking	lack	lacking
this	this	this
ability	abil	ability
of	of	of
absolute	absolut	absolute
proof	proof	proof
,	,	,
being	be	being
an	an	an

:	:	:
>	>	>
atheist	atheist	atheist
becomes	becom	becomes
an	an	an
act	act	act
of	of	of
faith	faith	faith
in	in	in
and	and	and
of	of	of
itself	itself	itself
,	,	,
and	and	and
this	this	this
i	i	i
cannot	cannot	cannot
accept	accept	accept
.	.	.

:	:	:
>	>	>
i	i	i
accept	accept	accept
nothing	noth	nothing
on	on	on
blind	blind	blind
faith	faith	faith
.	.	.

:	:	:
invisible	invis	invisible
pink	pink	pink
flying	fli	flying
unicorns	unicorn	unicorn
!	!	!

need	need	need
i	i	i
say	say	say
more	more	more
?	?	?

there	there	there
is	is	is
also	also	also
the	the	the
question	question	question
of	of	of
what	what	what
is	is	is
meant	meant	meant
by	by	by
"	"	"
atheist	atheist	atheist
"	"	"
.	.	.

a	a	a
familiar	familiar	familiar
example	exampl	example
of	of	of
the	the	the
importance	import	importance
of	of	of
the	the	the
meaning	mean	meaning
of	of	of
the	the	the
word	word	word
is	is	is
as	as	a
follows	follow	follows
.	.	.

the	the	the
two	two	two
statements	statement	statement
following	follow	following
are	are	are
consistent	consist	consistent
:	:	:

(	(	(
1	1	1
)	)	)
i	i	i
do	do	do
not	not	not
believe	believ	believe
that	that	that
you	you	you
are	are	are
wearing	wear	wearing
lilac	lilac	lilac
socks	sock	sock

(	(	(
2	2	2
)	)	)
i	i	i
do	do	do
not	not	not
believe	believ	believe
that	that	that
you	you	you
are	are	are
are	are	are
not	not	not
wearing	wear	wearing
lilac	lilac	lilac
socks	sock	sock

the	the	the
two	two	two
statements	statement	statement
following	follow	following
are	are	are
not	not	not
consistent	consist	consistent
:	:	:

(	(	(
3	3	3
)	)	)
i	i	i
do	do	do
believe	believ	believe
that	that	that
you	you	you
are	are	are
wearing	wear	wearing
lilac	lilac	lilac
socks	sock	sock

(	(	(
4	4	4
)	)	)
i	i	i
do	do	do
believe	believ	believe
that	that	that
you	you	you
are	are	are
are	are	are
not	not	not
wearing	wear	wearing
lilac	lilac	lilac
socks	sock	sock

statements	statement	statement
(	(	(
1	1	1
)	)	)
and	and	and
(	(	(
2	2	2
)	)	)
require	requir	require
no	no	no
faith	faith	faith
,	,	,
they	they	they
make	make	make
no	no	no
presumptions	presumpt	presumption
about	about	about
the	the	the
nature	natur	nature
of	of	of
reality	realiti	reality
.	.	.

statements	statement	statement
(	(	(
3	3	3
)	)	)
and	and	and
(	(	(
4	4	4
)	)	)
require	requir	require
belief	belief	belief
.	.	.

many	mani	many
atheists	atheist	atheist
(	(	(
myself	myself	myself
included	includ	included
)	)	)
take	take	take
the	the	the
following	follow	following
position	posit	position
:	:	:

(	(	(
5	5	5
)	)	)
i	i	i
do	do	do
not	not	not
believe	believ	believe
that	that	that
there	there	there
is	is	is
a	a	a
god	god	god
.	.	.

(	(	(
6	6	6
)	)	)
i	i	i
do	do	do
not	not	not
believe	believ	believe
that	that	that
there	there	there
is	is	is
not	not	not
a	a	a
god	god	god
.	.	.

that	that	that
is	is	is
,	,	,
i	i	i
harbor	harbor	harbor
no	no	no
beliefs	belief	belief
at	at	at
all	all	all
,	,	,
there	there	there
is	is	is
no	no	no
good	good	good
evidence	evid	evidence
for	for	for
god	god	god
existing	exist	existing
or	or	or
not	not	not
.	.	.

some	some	some
folks	folk	folk
call	call	call
this	this	this
agnosticism	agnostic	agnosticism
.	.	.

it	it	it
does	doe	doe
not	not	not
suffer	suffer	suffer
from	from	from
"	"	"
blind	blind	blind
faith	faith	faith
"	"	"
at	at	at
all	all	all
.	.	.

i	i	i
think	think	think
of	of	of
it	it	it
as	as	a
"	"	"
don	don	don
'	'	'
t	t	t
worry	worri	worry
,	,	,
be	be	be
happy	happi	happy
"	"	"
.	.	.
