subject	subject	subject
:	:	:
re	re	re
:	:	:
concerning	concern	concerning
god	god	god
'	'	'
s	s	s
morality	moral	morality
(	(	(
long	long	long
)	)	)

from	from	from
:	:	:
j5j@psuvm.psu.edu	j5j@psuvm.psu.edu	j5j@psuvm.psu.edu
(	(	(
john	john	john
a	a	a
.	.	.

johnson	johnson	johnson
)	)	)

<	<	<
1993apr3.095220.24632@leland.stanford.edu	1993apr3.095220.24632@leland.stanford.edu	1993apr3.095220.24632@leland.stanford.edu
>	>	>
<	<	<
1993apr5.084042.822@batman.bmd.trw.com	1993apr5.084042.822@batman.bmd.trw.com	1993apr5.084042.822@batman.bmd.trw.com
>	>	>
organization	organ	organization
:	:	:
penn	penn	penn
state	state	state
university	univers	university
lines	line	line
:	:	:
48	48	48

in	in	in
article	articl	article
<	<	<
1993apr5.084042.822@batman.bmd.trw.com	1993apr5.084042.822@batman.bmd.trw.com	1993apr5.084042.822@batman.bmd.trw.com
>	>	>
,	,	,
jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com
responds	respond	responds
to	to	to
a	a	a
lot	lot	lot
of	of	of
grief	grief	grief
given	given	given
to	to	to
him	him	him

>	>	>
in	in	in
article	articl	article
<	<	<
1993apr3.095220.24632@leland.stanford.edu	1993apr3.095220.24632@leland.stanford.edu	1993apr3.095220.24632@leland.stanford.edu
>	>	>
,	,	,
>	>	>
galahad@leland.stanford.edu	galahad@leland.stanford.edu	galahad@leland.stanford.edu
(	(	(
scott	scott	scott
compton	compton	compton
)	)	)
a	a	a
.	.	.
k	k	k
.	.	.
a	a	a
.	.	.
"	"	"
the	the	the
sagemaster	sagemast	sagemaster
"	"	"

[	[	[
.	.	.

.	.	.

.	.	.
]	]	]

>	>	>
but	but	but
then	then	then
i	i	i
ask	ask	ask
,	,	,
so	so	so
?	?	?

where	where	where
is	is	is
this	this	this
relevant	relev	relevant
to	to	to
my	my	my
discussion	discuss	discussion
in	in	in

>	>	>
answering	answer	answering
john	john	john
'	'	'
s	s	s
question	question	question
of	of	of
why	whi	why
?	?	?

why	whi	why
are	are	are
there	there	there
genetic	genet	genetic
diseases	diseas	disease
,	,	,
>	>	>
and	and	and
why	whi	why
are	are	are
there	there	there
so	so	so
many	mani	many
bacterial	bacteri	bacterial
and	and	and
viral	viral	viral
diseases	diseas	disease
which	which	which
require	requir	require

>	>	>
babies	babi	baby
to	to	to
develop	develop	develop
antibodies	antibodi	antibody
.	.	.

is	is	is
it	it	it
god	god	god
'	'	'
s	s	s
fault	fault	fault
?	?	?

(	(	(
the	the	the
original	origin	original

>	>	>
question	question	question
)	)	)
-	-	-
-	-	-
i	i	i
say	say	say
no	no	no
,	,	,
it	it	it
is	is	is
not	not	not
.	.	.

most	most	most
of	of	of
scotty	scotti	scotty
'	'	'
s	s	s
followup	followup	followup
*	*	*
was	was	wa
*	*	*
irrelevant	irrelev	irrelevant
to	to	to
the	the	the
original	origin	original
question	question	question
,	,	,
but	but	but
this	this	this
is	is	is
not	not	not
unusual	unusu	unusual
,	,	,
as	as	a
threads	thread	thread
often	often	often
quickly	quick	quickly
evolve	evolv	evolve
away	away	away
from	from	from
the	the	the
original	origin	original
topic	topic	topic
.	.	.

what	what	what
i	i	i
could	could	could
not	not	not
understand	understand	understand
is	is	is
why	whi	why
jim	jim	jim
spent	spent	spent
so	so	so
much	much	much
time	time	time
responding	respond	responding
to	to	to
what	what	what
he	he	he
regarded	regard	regarded
as	as	a
irrelevancies	irrelev	irrelevancy
.	.	.

[	[	[
.	.	.

.	.	.

.	.	.

]	]	]

>	>	>
>	>	>
may	may	may
i	i	i
ask	ask	ask
,	,	,
where	where	where
is	is	is
this	this	this
'	'	'
collective	collect	collective
'	'	'
bullcrap	bullcrap	bullcrap
coming	come	coming
from	from	from
?	?	?

[	[	[
.	.	.

.	.	.

.	.	.

]	]	]

>	>	>

>	>	>
by	by	by
"	"	"
collective	collect	collective
"	"	"
i	i	i
was	was	wa
referring	refer	referring
to	to	to
the	the	the
idea	idea	idea
that	that	that
god	god	god
works	work	work
with	with	with

>	>	>
humanity	human	humanity
on	on	on
two	two	two
levels	level	level
,	,	,
individually	individu	individually
and	and	and
collectively	collect	collectively
.	.	.

if	if	if
mankind	mankind	mankind

>	>	>
as	as	a
a	a	a
whole	whole	whole
decides	decid	decides
to	to	to
undertake	undertak	undertake
a	a	a
certain	certain	certain
action	action	action
(	(	(
the	the	the
majority	major	majority
of	of	of

>	>	>
mankind	mankind	mankind
)	)	)
,	,	,
well	well	well
,	,	,
i	i	i
guess	guess	guess
hypothetical	hypothet	hypothetical
adam	adam	adam
was	was	wa
"	"	"
the	the	the
majority	major	majority
of	of	of
mankind	mankind	mankind
"	"	"
seeing	see	seeing
how	how	how
he	he	he
was	was	wa
the	the	the
only	onli	only
man	man	man
at	at	at
the	the	the
time	time	time
.	.	.

>	>	>
then	then	then
god	god	god
will	will	will
allow	allow	allow
the	the	the
consequences	consequ	consequence
of	of	of
that	that	that
action	action	action
to	to	to

>	>	>
affect	affect	affect
mankind	mankind	mankind
as	as	a
a	a	a
whole	whole	whole
.	.	.

if	if	if
you	you	you
didn	didn	didn
'	'	'
t	t	t
understand	understand	understand
that	that	that
,	,	,
then	then	then
i	i	i

>	>	>
apologize	apolog	apologize
for	for	for
not	not	not
using	use	using
one	one	one
and	and	and
two	two	two
syllable	syllabl	syllable
words	word	word
in	in	in
my	my	my
discussion	discuss	discussion
.	.	.

i	i	i
understand	understand	understand
what	what	what
you	you	you
mean	mean	mean
by	by	by
"	"	"
collective	collect	collective
,	,	,
"	"	"
but	but	but
i	i	i
think	think	think
it	it	it
is	is	is
an	an	an
insane	insan	insane
perversion	pervers	perversion
of	of	of
justice	justic	justice
.	.	.

what	what	what
sort	sort	sort
of	of	of
judge	judg	judge
would	would	would
punish	punish	punish
the	the	the
descendants	descend	descendant
for	for	for
a	a	a
crime	crime	crime
committed	commit	committed
by	by	by
their	their	their
ancestor	ancestor	ancestor
?	?	?

>	>	>
if	if	if
you	you	you
want	want	want
to	to	to
be	be	be
sure	sure	sure
that	that	that
i	i	i
read	read	read
your	your	your
post	post	post
and	and	and
to	to	to
provide	provid	provide
a	a	a

>	>	>
response	respons	response
,	,	,
send	send	send
a	a	a
copy	copi	copy
to	to	to
jim_brown@oz.bmd.trw.com	jim_brown@oz.bmd.trw.com	jim_brown@oz.bmd.trw.com
.	.	.

i	i	i
can	can	can
'	'	'
t	t	t
read	read	read

>	>	>
a	a	a
.	.	.
a	a	a
.	.	.
every	everi	every
day	day	day
,	,	,
and	and	and
some	some	some
posts	post	post
slip	slip	slip
by	by	by
.	.	.

thanks	thank	thanks
.	.	.

well	well	well
,	,	,
i	i	i
must	must	must
admit	admit	admit
that	that	that
you	you	you
probably	probabl	probably
read	read	read
a	a	a
.	.	.
a	a	a
.	.	.
more	more	more
often	often	often
than	than	than
i	i	i
read	read	read
the	the	the
bible	bibl	bible
these	these	these
days	day	day
.	.	.

but	but	but
you	you	you
missed	miss	missed
a	a	a
couple	coupl	couple
of	of	of
good	good	good
followups	followup	followup
to	to	to
your	your	your
post	post	post
.	.	.

i	i	i
'	'	'
m	m	m
sending	send	sending
you	you	you
a	a	a
personal	person	personal
copy	copi	copy
of	of	of
my	my	my
followup	followup	followup
which	which	which
i	i	i
hope	hope	hope
you	you	you
will	will	will
respond	respond	respond
to	to	to
publically	public	publically
in	in	in
a	a	a
.	.	.
a	a	a
.	.	.

john	john	john
the	the	the
sageless	sageless	sageless
