organization	organ	organization
:	:	:
penn	penn	penn
state	state	state
university	univers	university

from	from	from
:	:	:
andrew	andrew	andrew
newell	newel	newell
<	<	<
tan102@psuvm.psu.edu	tan102@psuvm.psu.edu	tan102@psuvm.psu.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
<	<	<
<	<	<
pompous	pompous	pompous
ass	ass	as

<	<	<
1q52q8inn6pi@gap.caltech.edu	1q52q8inn6pi@gap.caltech.edu	1q52q8inn6pi@gap.caltech.edu
>	>	>
<	<	<
93099.234144mvs104@psuvm.psu.edu	93099.234144mvs104@psuvm.psu.edu	93099.234144mvs104@psuvm.psu.edu
>	>	>

<	<	<
1q8lk3innitq@gap.caltech.edu	1q8lk3innitq@gap.caltech.edu	1q8lk3innitq@gap.caltech.edu
>	>	>
<	<	<
93102.062908mvs104@psuvm.psu.edu	93102.062908mvs104@psuvm.psu.edu	93102.062908mvs104@psuvm.psu.edu
>	>	>

<	<	<
93105.022621tan102@psuvm.psu.edu	93105.022621tan102@psuvm.psu.edu	93105.022621tan102@psuvm.psu.edu
>	>	>
<	<	<
1ql71pinn5ef@gap.caltech.edu	1ql71pinn5ef@gap.caltech.edu	1ql71pinn5ef@gap.caltech.edu
>	>	>
lines	line	line
:	:	:
36	36	36

in	in	in
article	articl	article
<	<	<
1ql71pinn5ef@gap.caltech.edu	1ql71pinn5ef@gap.caltech.edu	1ql71pinn5ef@gap.caltech.edu
>	>	>
,	,	,
keith@cco.caltech.edu	keith@cco.caltech.edu	keith@cco.caltech.edu
(	(	(
keith	keith	keith
allan	allan	allan
schneider	schneider	schneider
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
andrew	andrew	andrew
newell	newel	newell
<	<	<
tan102@psuvm.psu.edu	tan102@psuvm.psu.edu	tan102@psuvm.psu.edu
>	>	>
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
sure	sure	sure
,	,	,
they	they	they
may	may	may
fall	fall	fall
back	back	back
on	on	on
other	other	other
things	thing	thing
,	,	,
but	but	but
this	this	this
is	is	is
one	one	one
they	they	they

>	>	>
>	>	>
should	should	should
not	not	not
have	have	have
available	avail	available
to	to	to
use	use	use
.	.	.

>	>	>

>	>	>
it	it	it
is	is	is
worse	wors	worse
than	than	than
others	other	others
?	?	?

the	the	the
national	nation	national
anthem	anthem	anthem
?	?	?

should	should	should
it	it	it
be	be	be
changed	chang	changed
too	too	too
?	?	?

>	>	>
god	god	god
bless	bless	bless
america	america	america
?	?	?

the	the	the
list	list	list
goes	goe	go
on	on	on
.	.	.
.	.	.
.	.	.

worse	wors	worse
?	?	?

maybe	mayb	maybe
not	not	not
,	,	,
but	but	but
it	it	it
is	is	is
definately	defin	definately
a	a	a
violation	violat	violation
of	of	of
the	the	the
rules	rule	rule
the	the	the
us	us	u
govt	govt	govt
.	.	.

supposedly	suppos	supposedly
follows	follow	follows
.	.	.

maybe	mayb	maybe
the	the	the
others	other	others
should	should	should
be	be	be
changed	chang	changed
to	to	to
?	?	?

but	but	but
i	i	i
'	'	'
m	m	m
not	not	not
personally	person	personally
as	as	a
concerned	concern	concerned
about	about	about
the	the	the
anthem	anthem	anthem
since	sinc	since
i	i	i
don	don	don
'	'	'
t	t	t
come	come	come
across	across	across
it	it	it
in	in	in
daily	daili	daily
nearly	near	nearly
unavoidable	unavoid	unavoidable
routines	routin	routine
.	.	.

>	>	>
>	>	>
every	everi	every
christian	christian	christian
.	.	.

and	and	and
i	i	i
'	'	'
d	d	d
be	be	be
tempted	tempt	tempted
to	to	to
rub	rub	rub
that	that	that
motto	motto	motto
in	in	in
the	the	the

>	>	>
>	>	>
face	face	face
of	of	of
christians	christian	christian
when	when	when
debunking	debunk	debunking
their	their	their
standard	standard	standard
motto	motto	motto
slinging	sling	slinging

>	>	>
>	>	>
gets	get	get
boring	bore	boring
.	.	.

>	>	>

>	>	>
then	then	then
you	you	you
'	'	'
d	d	d
be	be	be
no	no	no
better	better	better
than	than	than
the	the	the
people	peopl	people
you	you	you
despise	despis	despise
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t
despise	despis	despise
the	the	the
