organization	organ	organization
:	:	:
stanford	stanford	stanford
linear	linear	linear
accelerator	acceler	accelerator
center	center	center

from	from	from
:	:	:
<	<	<
rcb@slacvm.slac.stanford.edu	rcb@slacvm.slac.stanford.edu	rcb@slacvm.slac.stanford.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
sphere	sphere	sphere
from	from	from
4	4	4
points	point	point
?	?	?

distribution	distribut	distribution
:	:	:
world	world	world

lines	line	line
:	:	:
21	21	21

>	>	>
from	from	from
:	:	:
bolson@carson.u.washington.edu	bolson@carson.u.washington.edu	bolson@carson.u.washington.edu
(	(	(
edward	edward	edward
bolson	bolson	bolson
)	)	)

>	>	>
given	given	given
4	4	4
points	point	point
(	(	(
non	non	non
coplanar	coplanar	coplanar
)	)	)
,	,	,
how	how	how
does	doe	doe
one	one	one
find	find	find
the	the	the
sphere	sphere	sphere
,	,	,
that	that	that
is	is	is
,	,	,
>	>	>
cnter	cnter	cnter
and	and	and
radius	radius	radius
,	,	,
exactly	exact	exactly
fitting	fit	fitting
those	those	those
points	point	point
?	?	?

the	the	the
equation	equat	equation
of	of	of
the	the	the
sphere	sphere	sphere
through	through	through
the	the	the
4	4	4
points	point	point
(	(	(
x1	x1	x1
,	,	,
y1	y1	y1
,	,	,
z1	z1	z1
)	)	)
,	,	,
.	.	.
.	.	.
.	.	.
,	,	,
(	(	(
x4	x4	x4
,	,	,
y4	y4	y4
,	,	,
z4	z4	z4
)	)	)
is	is	is

|	|	|
x	x	x
^	^	^
2	2	2
+	+	+
y	y	y
^	^	^
2	2	2
+	+	+
z	z	z
^	^	^
2	2	2
x1	x1	x1
^	^	^
2	2	2
+	+	+
y1	y1	y1
^	^	^
2	2	2
+	+	+
z1	z1	z1
^	^	^
2	2	2
.	.	.
.	.	.
.	.	.

x4	x4	x4
^	^	^
2	2	2
+	+	+
y4	y4	y4
^	^	^
2	2	2
+	+	+
z4	z4	z4
^	^	^
2	2	2
|	|	|

|	|	|
x	x	x
x1	x1	x1
.	.	.
.	.	.
.	.	.

x4	x4	x4
|	|	|

|	|	|
y	y	y
y1	y1	y1
.	.	.
.	.	.
.	.	.

y4	y4	y4
|	|	|
=	=	=
0	0	0

|	|	|
z	z	z
z1	z1	z1
.	.	.
.	.	.
.	.	.

z4	z4	z4
|	|	|

|	|	|
1             1	1             1	1             1
.	.	.
.	.	.
.	.	.

1	1	1
|	|	|
when	when	when
this	this	this
5	5	5
by	by	by
5	5	5
determininant	determinin	determininant
is	is	is
expanded	expand	expanded
on	on	on
its	it	it
first	first	first
column	column	column
you	you	you
get	get	get
the	the	the
equation	equat	equation
in	in	in
the	the	the
form	form	form

a	a	a
(	(	(
x	x	x
^	^	^
2	2	2
+	+	+
y	y	y
^	^	^
2	2	2
+	+	+
z	z	z
^	^	^
2	2	2
)	)	)
+	+	+
bx	bx	bx
+	+	+
cy	cy	cy
+	+	+
dz	dz	dz
+	+	+
e	e	e
=	=	=
0	0	0
if	if	if
you	you	you
need	need	need
the	the	the
center	center	center
and	and	and
radius	radius	radius
,	,	,
jyst	jyst	jyst
divide	divid	divide
through	through	through
by	by	by
a	a	a
(	(	(
it	it	it
cannot	cannot	cannot
be	be	be
zero	zero	zero
if	if	if
the	the	the
4	4	4
given	given	given
points	point	point
form	form	form
a	a	a
non	non	non
-	-	-
degenerate	degener	degenerate
tetrahedron	tetrahedron	tetrahedron
)	)	)
and	and	and
complete	complet	complete
the	the	the
square	squar	square
on	on	on
x	x	x
,	,	,
y	y	y
,	,	,
and	and	and
z	z	z
to	to	to
obtain	obtain	obtain

(	(	(
x	x	x
-	-	-
xc	xc	xc
)	)	)
^	^	^
2	2	2
+	+	+
(	(	(
y	y	y
-	-	-
yc	yc	yc
)	)	)
^	^	^
2	2	2
+	+	+
(	(	(
z	z	z
-	-	-
zc	zc	zc
)	)	)
^	^	^
2	2	2
=	=	=
r	r	r
^	^	^
2	2	2

rcb@slacvm.slac.stanford.edu	rcb@slacvm.slac.stanford.edu	rcb@slacvm.slac.stanford.edu
(	(	(
bob	bob	bob
beach	beach	beach
)	)	)
