organization	organ	organization
:	:	:
arizona	arizona	arizona
state	state	state
university	univers	university

from	from	from
:	:	:
james	jame	james
cassidy	cassidi	cassidy
<	<	<
ifjxc@asuacad.bitnet	ifjxc@asuacad.bitnet	ifjxc@asuacad.bitnet
>	>	>

subject	subject	subject
:	:	:
norton	norton	norton
desktop	desktop	desktop
smartcan	smartcan	smartcan
vs	vs	v
.	.	.

norton	norton	norton
util	util	util
'	'	'
s	s	s
ep	ep	ep
lines	line	line
:	:	:
22	22	22

i	i	i
just	just	just
purchased	purchas	purchased
the	the	the
norton	norton	norton
desktop	desktop	desktop
for	for	for
windows	window	window
,	,	,
and	and	and
i	i	i
also	also	also
have	have	have
norton	norton	norton
utilities	util	utility
.	.	.

when	when	when
i	i	i
installed	instal	installed
ndw	ndw	ndw
,	,	,
it	it	it
wanted	want	wanted
to	to	to
rem	rem	rem
out	out	out
the	the	the
line	line	line
that	that	that
installed	instal	installed
ep	ep	ep
(	(	(
ep	ep	ep
/	/	/
on	on	on
)	)	)
and	and	and
the	the	the
command	command	command
to	to	to
invoke	invok	invoke
the	the	the
image	imag	image
utility	util	utility
.	.	.

it	it	it
replaced	replac	replaced
the	the	the
image	imag	image
command	command	command
with	with	with
a	a	a
new	new	new
image	imag	image
command	command	command
that	that	that
invokes	invok	invokes
the	the	the
version	version	version
of	of	of
image	imag	image
that	that	that
came	came	came
with	with	with
ndw	ndw	ndw
.	.	.

this	this	this
makes	make	make
sense	sens	sense
,	,	,
as	as	a
presumably	presum	presumably
the	the	the
image	imag	image
version	version	version
with	with	with
ndw	ndw	ndw
is	is	is
newer	newer	newer
than	than	than
the	the	the
one	one	one
with	with	with
nu	nu	nu
.	.	.

it	it	it
did	did	did
not	not	not
,	,	,
however	howev	however
,	,	,
install	instal	install
smartcan	smartcan	smartcan
in	in	in
the	the	the
autoexec	autoexec	autoexec
.	.	.

now	now	now
two	two	two
questions	question	question
:	:	:

1	1	1
:	:	:
will	will	will
nu	nu	nu
use	use	use
the	the	the
image	imag	image
data	data	data
saved	save	saved
by	by	by
the	the	the
newer	newer	newer
version	version	version
of	of	of
image	imag	image
invoked	invok	invoked
.	.	.

i	i	i
.	.	.
e	e	e
.	.	.
are	are	are
the	the	the
two	two	two
version	version	version
of	of	of
image	imag	image
compatable	compat	compatable
?	?	?

2	2	2
:	:	:
will	will	will
erase	eras	erase
protect	protect	protect
use	use	use
the	the	the
info	info	info
from	from	from
smartcan	smartcan	smartcan
,	,	,
and	and	and
vice	vice	vice
versa	versa	versa
?	?	?

i	i	i
use	use	use
both	both	both
dos	dos	do
and	and	and
windows	window	window
,	,	,
and	and	and
i	i	i
want	want	want
to	to	to
make	make	make
sure	sure	sure
that	that	that
when	when	when
i	i	i

erase	eras	erase
files	file	file
in	in	in
either	either	either
environment	environ	environment
,	,	,
they	they	they
are	are	are
going	go	going
to	to	to
be	be	be
protected	protect	protected
.	.	.

from	from	from
the	the	the
experiments	experi	experiment
i	i	i
have	have	have
run	run	run
,	,	,
the	the	the
two	two	two
programs	program	program
(	(	(
erase	eras	erase
protect	protect	protect
and	and	and
smart	smart	smart
erase	eras	erase
)	)	)
don	don	don
'	'	'
t	t	t
use	use	use
each	each	each
others	other	others
info	info	info
.	.	.

i	i	i
currently	current	currently
have	have	have
both	both	both
ep	ep	ep
and	and	and
smartcan	smartcan	smartcan
loading	load	loading
within	within	within
my	my	my
autoexec	autoexec	autoexec
,	,	,
and	and	and
i	i	i
don	don	don
'	'	'
t	t	t
see	see	see
any	ani	any
conflicts	conflict	conflict
;	;	;

fyi	fyi	fyi
:	:	:
norton	norton	norton
desktop	desktop	desktop
for	for	for
windows	window	window
version	version	version
2	2	2
.	.	.
2	2	2

norton	norton	norton
util	util	util
'	'	'
s	s	s
version	version	version
6	6	6

thanks	thank	thanks
for	for	for
any	ani	any
help	help	help
.	.	.
