subject	subject	subject
:	:	:
roman	roman	roman
.	.	.
bmp	bmp	bmp
10	10	10
/	/	/
14	14	14

from	from	from
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
university	univers	university
of	of	of
south	south	south
dakota	dakota	dakota

lines	line	line
:	:	:
956	956	956

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
part	part	part
10	10	10
of	of	of
14	14	14
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
m	m	m
:	:	:
j	j	j
"	"	"
u	u	u
$	$	$
$	$	$
,	,	,
^	^	^
um	um	um
[	[	[
>	>	>
we	we	we
/	/	/
m	m	m
[	[	[
>	>	>
v	v	v
+	+	+
bxn	bxn	bxn
+	+	+
bxn	bxn	bxn
+	+	+
bxn	bxn	bxn
+	+	+
bxom	bxom	bxom
[	[	[
>	>	>
u34u	u34u	u34u
-	-	-
34	34	34
[	[	[
"	"	"
pl	pl	pl
!	!	!
d9	d9	d9
<	<	<
7	7	7
'	'	'
2tm	2tm	2tm
+	+	+
2	2	2
m	m	m
/	/	/
3t	3t	3t
]	]	]
/	/	/
3t	3t	3t
]	]	]
f9f9	f9f9	f9f9
`	`	`
p	p	p
,	,	,
#	#	#
7ey	7ey	7ey
>	>	>
nrizwt	nrizwt	nrizwt
=	=	=
'	'	'
i0mfq	i0mfq	i0mfq
#	#	#
&	&	&
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
max	max	max
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
max	max	max
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
max	max	max
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
