subject	subject	subject
:	:	:
trident	trident	trident
8900	8900	8900
switch	switch	switch
settings	set	setting
(	(	(
someone	someon	someone
archive	archiv	archive
this	this	this
!	!	!
)	)	)

from	from	from
:	:	:
j3gum@vax1.mankato.msus.edu	j3gum@vax1.mankato.msus.edu	j3gum@vax1.mankato.msus.edu

organization	organ	organization
:	:	:
mankato	mankato	mankato
state	state	state
university	univers	university

lines	line	line
:	:	:
109	109	109

t8900dip	t8900dip	t8900dip
.	.	.
txt	txt	txt
-	-	-
jeffrey	jeffrey	jeffrey
e	e	e
.	.	.

hundstad	hundstad	hundstad
(	(	(
j3gum@vax1.mankato.msus.edu	j3gum@vax1.mankato.msus.edu	j3gum@vax1.mankato.msus.edu
)	)	)

switch	switch	switch
settings	set	setting
on	on	on
the	the	the
trident	trident	trident
8900c	8900c	8900c

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
\	\	\
/	/	/
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
9	9	9
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
xx	xx	xx
8  8  8  8	8  8  8  8	8  8  8  8
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
1	1	1

|	|	|
xx	xx	xx
|	|	|
6	6	6
|	|	|
|	|	|
10	10	10
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
|	|	|
|	|	|
4	4	4
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
2	2	2

|	|	|
xx	xx	xx
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
j1	j1	j1
j2	j2	j2
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
xx	xx	xx
8  8  8  8	8  8  8  8	8  8  8  8
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
3	3	3

|	|	|
|	|	|
5	5	5
|	|	|
|	|	|
5	5	5
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
-	-	-
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
7	7	7
|	|	|
-	-	-
|	|	|
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

vga	vga	vga
graphics	graphic	graphic
adapter	adapt	adapter
layout	layout	layout
#	#	#
1	1	1
(	(	(
8	8	8
-	-	-
dram	dram	dram
)	)	)

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
\	\	\
/	/	/
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
4	4	4
j3	j3	j3
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
9	9	9
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
11 8  8  8  8	11 8  8  8  8	11 8  8  8  8
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
1	1	1

|	|	|
|	|	|
6	6	6
|	|	|
|	|	|
10	10	10
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
4	4	4
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
2	2	2

|	|	|
j2	j2	j2
|	|	|
5	5	5
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
11 8  8  8  8	11 8  8  8  8	11 8  8  8  8
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
3	3	3

|	|	|
|	|	|
5	5	5
|	|	|
4	4	4
j1	j1	j1
|	|	|
-	-	-
-	-	-
-	-	-
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
-	-	-
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
7	7	7
|	|	|
-	-	-
|	|	|
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

vga	vga	vga
graphics	graphic	graphic
adapter	adapt	adapter
layout	layout	layout
#	#	#
2	2	2
(	(	(
2	2	2
/	/	/
4	4	4
/	/	/
8	8	8
-	-	-
dram	dram	dram
)	)	)

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
