organization	organ	organization
:	:	:
university	univers	university
of	of	of
maine	main	maine
system	system	system

from	from	from
:	:	:
jon	jon	jon
carr	carr	carr
<	<	<
io91748@maine.maine.edu	io91748@maine.maine.edu	io91748@maine.maine.edu
>	>	>

subject	subject	subject
:	:	:
pin	pin	pin
map	map	map
for	for	for
8pin	8pin	8pin
-	-	-
din	din	din
cable	cabl	cable
?	?	?

lines	line	line
:	:	:
26	26	26

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#

#	#	#
1   2     3	1   2     3	1   2     3
#	#	#

facing	face	facing
#	#	#
#	#	#
female	femal	female
plug	plug	plug
end	end	end
#	#	#
4       5   6	4       5   6	4       5   6
#	#	#

#	#	#
#	#	#

#	#	#
#	#	#

#	#	#
7	7	7
8	8	8
#	#	#

#	#	#
#	#	#

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#

anyone	anyon	anyone
recognize	recogn	recognize
this	this	this
?	?	?

it	it	it
'	'	'
s	s	s
my	my	my
little	littl	little
layout	layout	layout
of	of	of
a	a	a
eight	eight	eight
pin	pin	pin
female	femal	female
plug	plug	plug
connector	connector	connector
used	use	used
for	for	for
many	mani	many
mac	mac	mac
peripherals	peripher	peripheral
.	.	.

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
problem	problem	problem
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
problem	problem	problem
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
problem	problem	problem
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#

printer	printer	printer
(	(	(
cheap	cheap	cheap
)	)	)
cables	cabl	cable
using	use	using
this	this	this
configuration	configur	configuration
switch	switch	switch
a	a	a
couple	coupl	couple
of	of	of
pins	pin	pin
between	between	between
one	one	one
end	end	end
and	and	and
the	the	the
other	other	other
.	.	.

i	i	i
want	want	want
to	to	to
use	use	use
cheap	cheap	cheap
cables	cabl	cable
for	for	for
an	an	an
a	a	a
-	-	-
b	b	b
box	box	box
.	.	.

anyone	anyon	anyone
know	know	know
which	which	which
pins	pin	pin
get	get	get
reversed	revers	reversed
so	so	so
i	i	i
can	can	can
do	do	do
some	some	some
creative	creativ	creative
editing	edit	editing
on	on	on
the	the	the
internals	intern	internals
of	of	of
my	my	my
box	box	box
?	?	?

any	ani	any
help	help	help
would	would	would
be	be	be
greatly	great	greatly
appreciated	appreci	appreciated
.	.	.

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
>	>	>
jon	jon	jon
jon	jon	jon
carr	carr	carr

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
>	>	>
io91748@maine.maine.edu	io91748@maine.maine.edu	io91748@maine.maine.edu
umaine	umain	umaine
'	'	'
93	93	93

1993	1993	1993
ncaa	ncaa	ncaa
champions	champion	champion
!	!	!

how	how	how
about	about	about
those	those	those
42	42	42
-	-	-
1	1	1
-	-	-
2	2	2
black	black	black
bears	bear	bear
!	!	!
!	!	!

m	m	m
-	-	-
a	a	a
-	-	-
i	i	i
-	-	-
n	n	n
-	-	-
e	e	e
-	-	-
go	go	go
blue	blue	blue
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
