distribution	distribut	distribution
:	:	:
world	world	world

from	from	from
:	:	:
hyerstay@adrenaline.com	hyerstay@adrenaline.com	hyerstay@adrenaline.com
(	(	(
jason	jason	jason
hyerstay	hyerstay	hyerstay
)	)	)

organization	organ	organization
:	:	:
adrenaline	adrenalin	adrenaline
online	onlin	online
,	,	,
(	(	(
802) 425-2332	802) 425-2332	802) 425-2332
,	,	,
a	a	a
firstclass	firstclass	firstclass
bbs	bbs	bb

subject	subject	subject
:	:	:
re	re	re
:	:	:
mac	mac	mac
oriented	orient	oriented
bbss	bbss	bbs
in	in	in
chicago	chicago	chicago

lines	line	line
:	:	:
28	28	28

>	>	>
a	a	a
member	member	member
of	of	of
the	the	the
local	local	local
bbs	bbs	bb
i	i	i
frequent	frequent	frequent
is	is	is
looking	look	looking
for	for	for
mac	mac	mac
oriented	orient	oriented

>	>	>
bbss	bbss	bbs
based	base	based
in	in	in
chicago	chicago	chicago
.	.	.

>	>	>

>	>	>
any	ani	any
leads	lead	lead
would	would	would
be	be	be
most	most	most
appreciated	appreci	appreciated
.	.	.

here	here	here
is	is	is
a	a	a
list	list	list
of	of	of
the	the	the
firstclass	firstclass	firstclass
systems	system	system
in	in	in
illinois	illinoi	illinois
:	:	:

chicago	chicago	chicago
machine	machin	machine
chicago	chicago	chicago
,	,	,
il	il	il
(	(	(
312) 233-9607	312) 233-9607	312) 233-9607
insane	insan	insane
domain	domain	domain
chicago	chicago	chicago
,	,	,
il	il	il
(	(	(
312) 274-9515	312) 274-9515	312) 274-9515
mac	mac	mac
universe	univers	universe
bbs	bbs	bb
chicago	chicago	chicago
,	,	,
il	il	il
(	(	(
312) 235-6794	312) 235-6794	312) 235-6794
the	the	the
net	net	net
rockford	rockford	rockford
,	,	,
il	il	il
(	(	(
815) 968-4729	815) 968-4729	815) 968-4729
mactripp	mactripp	mactripp
wilmette	wilmett	wilmette
,	,	,
il	il	il
(	(	(
708) 251-4158	708) 251-4158	708) 251-4158
innovators	innov	innovator
vernon	vernon	vernon
hills	hill	hill
,	,	,
il	il	il
(	(	(
708) 918-1231	708) 918-1231	708) 918-1231

if	if	if
anyone	anyon	anyone
wants	want	want
the	the	the
numbers	number	number
to	to	to
more	more	more
firstclass	firstclass	firstclass
systems	system	system
,	,	,
i	i	i
would	would	would
be	be	be
glad	glad	glad
to	to	to
post	post	post
the	the	the
complete	complet	complete
list	list	list
.	.	.

-	-	-
jason	jason	jason
hyerstay	hyerstay	hyerstay

-	-	-
adrenaline	adrenalin	adrenaline
admin	admin	admin

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
