subject	subject	subject
:	:	:
traffic	traffic	traffic
rules	rule	rule
at	at	at
intersections	intersect	intersection

from	from	from
:	:	:
jsv@math.canterbury.ac.nz	jsv@math.canterbury.ac.nz	jsv@math.canterbury.ac.nz
(	(	(
julian	julian	julian
visch	visch	visch
)	)	)

organization	organ	organization
:	:	:
department	depart	department
of	of	of
mathematics	mathemat	mathematics
,	,	,
university	univers	university
of	of	of
canterbury	canterburi	canterbury

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
sss330	sss330	sss330
.	.	.
canterbury	canterburi	canterbury
.	.	.
ac	ac	ac
.	.	.
nz	nz	nz

lines	line	line
:	:	:
20	20	20

i	i	i
am	am	am
presently	present	presently
doing	do	doing
a	a	a
masters	master	master
thesis	thesi	thesis
to	to	to
do	do	do
with	with	with
traffic	traffic	traffic
intersections	intersect	intersection
in	in	in
new	new	new
zealand	zealand	zealand
but	but	but
a	a	a
lot	lot	lot
of	of	of
the	the	the
books	book	book
i	i	i
am	am	am
researching	research	researching
from	from	from
,	,	,
are	are	are
from	from	from
america	america	america
or	or	or
australia	australia	australia
and	and	and
so	so	so
i	i	i
was	was	wa
wondering	wonder	wondering
if	if	if
anyone	anyon	anyone
could	could	could
please	pleas	please
tell	tell	tell
me	me	me
what	what	what
the	the	the
road	road	road
rules	rule	rule
are	are	are
in	in	in
either	either	either
country	countri	country
with	with	with
regard	regard	regard
to	to	to
intersections	intersect	intersection
.	.	.

thanks	thank	thanks
julian	julian	julian
visch	visch	visch
jsv@math.canterbury.ac.nz	jsv@math.canterbury.ac.nz	jsv@math.canterbury.ac.nz

________________________	________________________	________________________

,	,	,
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
+	+	+
/	/	/
+	+	+
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
+	+	+
\	\	\

/	/	/
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|

/	/	/
|	|	|
|	|	|
+	+	+
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
+	+	+
|	|	|

_________	_________	_________
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
=	=	=
-	-	-
-	-	-
<	<	<
i	i	i
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
+	+	+
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
,	,	,
.	.	.
-	-	-
-	-	-
-	-	-
-	-	-
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
|	|	|
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
-	-	-
-	-	-
-	-	-
=	=	=
|	|	|
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
-	-	-
-	-	-
>	>	>
>	>	>
|	|	|

|	|	|
______	______	______
|	|	|
|	|	|
______	______	______
|	|	|

[	[	[
|	|	|
/	/	/
_	_	_
-	-	-
-	-	-
_	_	_
\	\	\
/	/	/
|	|	|
/	/	/
_	_	_
-	-	-
-	-	-
_	_	_
\	\	\
]	]	]

\	\	\
__	__	__
|	|	|
|	|	|
-	-	-
__	__	__
-	-	-
|	|	|
|	|	|
___	___	___
/	/	/
_____________	_____________	_____________
/	/	/
_____________	_____________	_____________
|	|	|
|	|	|
-	-	-
__	__	__
-	-	-
|	|	|
|	|	|
_____	_____	_____
/	/	/

\	\	\
____	____	____
/	/	/
\	\	\
____	____	____
/	/	/
