organization	organ	organization
:	:	:
central	central	central
michigan	michigan	michigan
university	univers	university

from	from	from
:	:	:
john	john	john
foster	foster	foster
<	<	<
32hnbak@cmuvm.csv.cmich.edu	32hnbak@cmuvm.csv.cmich.edu	32hnbak@cmuvm.csv.cmich.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
changing	chang	changing
oil	oil	oil
by	by	by
self	self	self
.	.	.

<	<	<
1993apr15.112826.25211@colorado.edu	1993apr15.112826.25211@colorado.edu	1993apr15.112826.25211@colorado.edu
>	>	>
lines	line	line
:	:	:
38	38	38

>	>	>
from	from	from
:	:	:
drew@kinglear.cs.colorado.edu	drew@kinglear.cs.colorado.edu	drew@kinglear.cs.colorado.edu
(	(	(
drew	drew	drew
eckhardt	eckhardt	eckhardt
)	)	)

>	>	>
in	in	in
article	articl	article
<	<	<
pod.734834505@sour.sw.oz.au	pod.734834505@sour.sw.oz.au	pod.734834505@sour.sw.oz.au
>	>	>
pod@sour.sw.oz.au	pod@sour.sw.oz.au	pod@sour.sw.oz.au
(	(	(
paul	paul	paul
o	o	o
'	'	'
donnell	donnel	donnell
)	)	)
wri	wri	wri

>	>	>
>	>	>
in	in	in
<	<	<
1qgi8einnhs5@skeena.ucs.ubc.ca	1qgi8einnhs5@skeena.ucs.ubc.ca	1qgi8einnhs5@skeena.ucs.ubc.ca
>	>	>
yiklam@unixg.ubc.ca	yiklam@unixg.ubc.ca	yiklam@unixg.ubc.ca
(	(	(
yik	yik	yik
chong	chong	chong
lam	lam	lam
)	)	)
writes	write	writes

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
hello	hello	hello
,	,	,
>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
does	doe	doe
anyone	anyon	anyone
know	know	know
how	how	how
to	to	to
take	take	take
out	out	out
the	the	the
bolt	bolt	bolt
under	under	under
the	the	the
engine	engin	engine

>	>	>
>	>	>
>	>	>
compartment	compart	compartment
?	?	?

should	should	should
i	i	i
turn	turn	turn
clockwise	clockwis	clockwise
or	or	or
counter	counter	counter
?	?	?

i	i	i
tried	tri	tried
any	ani	any
kind	kind	kind

>	>	>
>	>	>
>	>	>
of	of	of
lubricants	lubric	lubricant
,	,	,
wd	wd	wd
-	-	-
40	40	40
,	,	,
etc	etc	etc
,	,	,
but	but	but
i	i	i
still	still	still
failed	fail	failed
!	!	!

>	>	>
>	>	>
>	>	>
do	do	do
you	you	you
think	think	think
i	i	i
can	can	can
use	use	use
a	a	a
electric	electr	electric
drill	drill	drill
(	(	(
change	chang	change
to	to	to
a	a	a
suitable	suitabl	suitable

>	>	>
>	>	>
>	>	>
bit	bit	bit
)	)	)
to	to	to
turn	turn	turn
it	it	it
out	out	out
?	?	?

if	if	if
i	i	i
can	can	can
succeed	succeed	succeed
,	,	,
can	can	can
i	i	i
re	re	re
-	-	-
tighten	tighten	tighten
it	it	it
not	not	not
too	too	too

>	>	>
>	>	>
>	>	>
tight	tight	tight
,	,	,
is	is	is
it	it	it
safe	safe	safe
without	without	without
oil	oil	oil
leak	leak	leak
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
you	you	you
shouldn	shouldn	shouldn
'	'	'
t	t	t
need	need	need
any	ani	any
power	power	power
tools	tool	tool
to	to	to
undo	undo	undo
it	it	it
,	,	,
an	an	an
electric	electr	electric
drill	drill	drill

>	>	>
>	>	>
probably	probabl	probably
won	won	won
'	'	'
t	t	t
give	give	give
you	you	you
much	much	much
extra	extra	extra
torque	torqu	torque
anyway	anyway	anyway
.	.	.

wd40	wd40	wd40
will	will	will
help	help	help

>	>	>
>	>	>
things	thing	thing
that	that	that
are	are	are
seized	seiz	seized
due	due	due
to	to	to
rust	rust	rust
but	but	but
this	this	this
is	is	is
unlikely	unlik	unlikely
for	for	for
a	a	a
drain	drain	drain

>	>	>
>	>	>
plug	plug	plug
.	.	.

you	you	you
should	should	should
be	be	be
able	abl	able
to	to	to
undo	undo	undo
it	it	it
with	with	with
a	a	a
spanner	spanner	spanner
.	.	.

when	when	when
it	it	it

>	>	>
>	>	>
loosens	loosen	loosens
,	,	,
it	it	it
will	will	will
probably	probabl	probably
become	becom	become
very	veri	very
loose	loos	loose
and	and	and
you	you	you
will	will	will
bash	bash	bash
your	your	your

>	>	>
>	>	>
knuckles	knuckl	knuckle
on	on	on
the	the	the
underside	undersid	underside
of	of	of
the	the	the
car	car	car
-	-	-
this	this	this
is	is	is
the	the	the
price	price	price
you	you	you
must	must	must

>	>	>
>	>	>
pay	pay	pay
for	for	for
doing	do	doing
you	you	you
own	own	own
work	work	work
.	.	.

>	>	>

>	>	>
no	no	no
,	,	,
that	that	that
'	'	'
s	s	s
the	the	the
price	price	price
you	you	you
pay	pay	pay
for	for	for
not	not	not
knowing	know	knowing
how	how	how
to	to	to
use	use	use
a	a	a

>	>	>
wrench	wrench	wrench
.	.	.

you	you	you
want	want	want
to	to	to
pull	pull	pull
the	the	the
wrench	wrench	wrench
towards	toward	towards
you	you	you
