subject	subject	subject
:	:	:
re	re	re
:	:	:
observation	observ	observation
re	re	re
:	:	:
helmets	helmet	helmet

from	from	from
:	:	:
dev2@inform.co.nz	dev2@inform.co.nz	dev2@inform.co.nz
(	(	(
michael	michael	michael
seales	seal	seales
)	)	)

organization	organ	organization
:	:	:
inform	inform	inform
group	group	group
ltd	ltd	ltd
.	.	.

lines	line	line
:	:	:
23	23	23

in	in	in
article	articl	article
<	<	<
211353@mavenry.altcit.eskimo.com	211353@mavenry.altcit.eskimo.com	211353@mavenry.altcit.eskimo.com
>	>	>
,	,	,
maven@mavenry.altcit.eskimo.com	maven@mavenry.altcit.eskimo.com	maven@mavenry.altcit.eskimo.com
(	(	(
norman	norman	norman
hamer	hamer	hamer
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
grf	grf	grf
.	.	.

dropped	drop	dropped
my	my	my
shoei	shoei	shoei
rf	rf	rf
-	-	-
200	200	200
off	off	off
the	the	the
seat	seat	seat
of	of	of
my	my	my
bike	bike	bike
while	while	while
trying	tri	trying
to	to	to
rock	rock	rock

>	>	>
it	it	it
onto	onto	onto
it	it	it
'	'	'
s	s	s
centerstand	centerstand	centerstand
,	,	,
chipped	chip	chipped
the	the	the
heck	heck	heck
out	out	out
of	of	of
the	the	the
paint	paint	paint
on	on	on
it	it	it
.	.	.
.	.	.
.	.	.

congraulations	congraul	congraulations
!	!	!
!	!	!
!	!	!
!	!	!

your	your	your
helmet	helmet	helmet
just	just	just
passed	pass	passed
the	the	the
snell	snell	snell
test	test	test
.	.	.

>	>	>
so	so	so
i	i	i
cheerfully	cheer	cheerfully
spent	spent	spent
$	$	$
.	.	.
59	59	59
on	on	on
a	a	a
bottle	bottl	bottle
of	of	of
testor	testor	testor
'	'	'
s	s	s
model	model	model
paint	paint	paint
and	and	and

>	>	>
repainted	repaint	repainted
the	the	the
scratches	scratch	scratch
and	and	and
chips	chip	chip
for	for	for
20	20	20
minutes	minut	minute
.	.	.

oh	oh	oh
well	well	well
,	,	,
as	as	a
least	least	least
it	it	it
looks	look	look
ok	ok	ok
now	now	now
.	.	.

still	still	still
,	,	,
it	it	it
may	may	may
not	not	not
save	save	save
your	your	your
head	head	head
as	as	a
well	well	well
as	as	a
before	befor	before
you	you	you
dropped	drop	dropped
it	it	it
.	.	.

mike	mike	mike

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#

#	#	#
mike	mike	mike
seales	seal	seales
yamaha	yamaha	yamaha
xj600	xj600	xj600
(	(	(
same	same	same
as	as	a
fj600	fj600	fj600
)	)	)
#	#	#

#	#	#
inform	inform	inform
group	group	group
ltd	ltd	ltd
.	.	.

dod	dod	dod
#	#	#
0793	0793	0793
#	#	#

#	#	#
level	level	level
8	8	8
db	db	db
tower	tower	tower
#	#	#

#	#	#
111	111	111
the	the	the
terrace	terrac	terrace
email	email	email
:	:	:
homer@inform.co.nz	homer@inform.co.nz	homer@inform.co.nz
#	#	#

#	#	#
wellington	wellington	wellington
phone	phone	phone
:	:	:
64-4-4720996	64-4-4720996	64-4-4720996
#	#	#

#	#	#
new	new	new
zealand	zealand	zealand
fax	fax	fax
:	:	:
64-4-4732407	64-4-4732407	64-4-4732407
#	#	#

#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
#	#	#
