subject	subject	subject
:	:	:
cubs	cub	cub
mailing	mail	mailing
list	list	list

from	from	from
:	:	:
andrew@dark.side.of.the.moon.uoknor.edu	andrew@dark.side.of.the.moon.uoknor.edu	andrew@dark.side.of.the.moon.uoknor.edu
(	(	(
chihuahua	chihuahua	chihuahua
charlie	charli	charlie
)	)	)

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
ou	ou	ou
-	-	-
academic	academ	academic
user	user	user
services	servic	service

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
loopback	loopback	loopback
.	.	.
uoknor	uoknor	uoknor
.	.	.
edu	edu	edu

news	news	news
-	-	-
software	softwar	software
:	:	:
vax	vax	vax
/	/	/
vms	vms	vms
vnews	vnew	vnews
1	1	1
.	.	.
41	41	41
lines	line	line
:	:	:
14	14	14

lines	line	line
:	:	:
14	14	14

is	is	is
there	there	there
anyone	anyon	anyone
out	out	out
there	there	there
running	run	running
a	a	a
chicago	chicago	chicago
national	nation	national

league	leagu	league
ballclub	ballclub	ballclub
list	list	list
?	?	?

if	if	if
so	so	so
,	,	,
please	pleas	please
send	send	send
me	me	me
information	inform	information

on	on	on
it	it	it
to	to	to
.	.	.
.	.	.
.	.	.

andrew@aardvark.ucs.uoknor.edu	andrew@aardvark.ucs.uoknor.edu	andrew@aardvark.ucs.uoknor.edu

thanks	thank	thanks
!	!	!

|	|	|
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
|	|	|

|	|	|
o	o	o
|	|	|
_	_	_
|	|	|
chihuahua	chihuahua	chihuahua
charlie	charli	charlie
|	|	|
ou	ou	ou
is	is	is
not	not	not
responsible	respons	responsible
|	|	|
o	o	o
|	|	|

|	|	|
o	o	o
|	|	|
|	|	|
|	|	|
|	|	|
academic	academ	academic
user	user	user
services	servic	service
|	|	|
for	for	for
anything	anyth	anything
anywhere	anywher	anywhere
,	,	,
|	|	|
o	o	o
|	|	|

|	|	|
o	o	o
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
the	the	the
university	univers	university
of	of	of
oklahoma	oklahoma	oklahoma
|	|	|
except	except	except
for	for	for
that	that	that
one	one	one
|	|	|
o	o	o
|	|	|

|	|	|
o	o	o
|	|	|
|	|	|
_	_	_
|	|	|
|	|	|
andrew@aardvark.ucs.uoknor.edu	andrew@aardvark.ucs.uoknor.edu	andrew@aardvark.ucs.uoknor.edu
|	|	|
incident	incid	incident
where	where	where
200	200	200
.	.	.
.	.	.
.	.	.

|	|	|
o	o	o
|	|	|

|	|	|
o	o	o
|	|	|
____________________________________________________________________	____________________________________________________________________	____________________________________________________________________
|	|	|
o	o	o
|	|	|
