subject	subject	subject
:	:	:
nhl	nhl	nhl
summary	summari	summary
parse	pars	parse
results	result	result
for	for	for
games	game	game
played	play	played
sun	sun	sun
,	,	,
april	april	april
4	4	4
,	,	,
1993	1993	1993

from	from	from
:	:	:
c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca
(	(	(
cook	cook	cook
charlie	charli	charlie
)	)	)

organization	organ	organization
:	:	:
university	univers	university
of	of	of
new	new	new
brunswick	brunswick	brunswick

lines	line	line
:	:	:
210	210	210

ny	ny	ny
rangers	ranger	ranger
3	3	3
1	1	1
0	0	0
-	-	-
-	-	-
4	4	4
washington	washington	washington
0	0	0
0	0	0
0	0	0
-	-	-
-	-	-
0	0	0
first	first	first
period	period	period

1	1	1
,	,	,
ny	ny	ny
rangers	ranger	ranger
,	,	,
graves	grave	graf
33	33	33
(	(	(
turcotte	turcott	turcotte
,	,	,
lowe	low	lowe
)	)	)
9	9	9
:	:	:
13	13	13
.	.	.

2	2	2
,	,	,
ny	ny	ny
rangers	ranger	ranger
,	,	,
gartner	gartner	gartner
44	44	44
(	(	(
messier	messier	messier
)	)	)
11	11	11
:	:	:
21	21	21
.	.	.

3	3	3
,	,	,
ny	ny	ny
rangers	ranger	ranger
,	,	,
olczyk	olczyk	olczyk
21	21	21
(	(	(
messier	messier	messier
,	,	,
amonte	amont	amonte
)	)	)
14	14	14
:	:	:
57	57	57
.	.	.

second	second	second
period	period	period

4	4	4
,	,	,
ny	ny	ny
rangers	ranger	ranger
,	,	,
beukeboom	beukeboom	beukeboom
2	2	2
(	(	(
unassisted	unassist	unassisted
)	)	)
3	3	3
:	:	:
30	30	30
.	.	.

third	third	third
period	period	period

no	no	no
scoring	score	scoring
.	.	.

ny	ny	ny
rangers	ranger	ranger
:	:	:
4	4	4
power	power	power
play	play	play
:	:	:
4	4	4
-	-	-
0	0	0

scorer	scorer	scorer
g	g	g
a	a	a
pts	pts	pt

