subject	subject	subject
:	:	:
re	re	re
:	:	:
can	can	can
microwaves	microwav	microwave
be	be	be
used	use	used
to	to	to
collect	collect	collect
xyz	xyz	xyz
coordinates	coordin	coordinate

from	from	from
:	:	:
ganter@ifi.unibas.ch	ganter@ifi.unibas.ch	ganter@ifi.unibas.ch
(	(	(
robert	robert	robert
ganter	ganter	ganter
)	)	)

organization	organ	organization
:	:	:
institut	institut	institut
fuer	fuer	fuer
informatik	informatik	informatik

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
schroeder	schroeder	schroeder
.	.	.
ifi	ifi	ifi
.	.	.
unibas	uniba	unibas
.	.	.
ch	ch	ch

lines	line	line
:	:	:
63	63	63

in	in	in
article	articl	article
<	<	<
1993apr15.103953.66252@cc.usu.edu	1993apr15.103953.66252@cc.usu.edu	1993apr15.103953.66252@cc.usu.edu
>	>	>
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
c5hs5j.ag7@bcstec.ca.boeing.com	c5hs5j.ag7@bcstec.ca.boeing.com	c5hs5j.ag7@bcstec.ca.boeing.com
>	>	>
,	,	,
rgc3679@bcstec.ca.boeing.com	rgc3679@bcstec.ca.boeing.com	rgc3679@bcstec.ca.boeing.com

(	(	(
robert	robert	robert
g	g	g
.	.	.

carpenter	carpent	carpenter
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
|	|	|
>	>	>
it	it	it
seems	seem	seems
reasonable	reason	reasonable
to	to	to
me	me	me
that	that	that
a	a	a
microwave	microwav	microwave
transmitter	transmitt	transmitter
-	-	-
receiver	receiv	receiver
setup	setup	setup
could	could	could

>	>	>
|	|	|
>	>	>
do	do	do
the	the	the
job	job	job
.	.	.

for	for	for
example	exampl	example
,	,	,
say	say	say
you	you	you
want	want	want
to	to	to
map	map	map
an	an	an
acre	acr	acre
lot	lot	lot
,	,	,
it	it	it
'	'	'
d	d	d
be	be	be
convenient	conveni	convenient

>	>	>
|	|	|
>	>	>
to	to	to
place	place	place
mw	mw	mw
transmitters	transmitt	transmitter
around	around	around
the	the	the
lot	lot	lot
'	'	'
s	s	s
periphery	peripheri	periphery
(	(	(
either	either	either
2	2	2
or	or	or
3	3	3
)	)	)
and	and	and
then	then	then

>	>	>
|	|	|
>	>	>
carry	carri	carry
a	a	a
hand	hand	hand
-	-	-
held	held	held
recorder	record	recorder
and	and	and
walk	walk	walk
to	to	to
a	a	a
point	point	point
on	on	on
the	the	the
lot	lot	lot
,	,	,
press	press	press
a	a	a
button	button	button
and	and	and

>	>	>
|	|	|
>	>	>
the	the	the
coords	coord	coords
of	of	of
the	the	the
recorder	record	recorder
'	'	'
s	s	s
location	locat	location
is	is	is
stored	store	stored
as	as	a
digital	digit	digital
data	data	data
.	.	.

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
what	what	what
'	'	'
s	s	s
the	the	the
chance	chanc	chance
of	of	of
this	this	this
working	work	working
?	?	?

any	ani	any
systems	system	system
like	like	like
this	this	this
already	alreadi	already
exist	exist	exist
?	?	?

>	>	>
|	|	|
>	>	>
what	what	what
kind	kind	kind
of	of	of
accuracy	accuraci	accuracy
could	could	could
you	you	you
expect	expect	expect
?	?	?

what	what	what
would	would	would
something	someth	something
like	like	like
this	this	this

>	>	>
|	|	|
>	>	>
cost	cost	cost
to	to	to
prototype	prototyp	prototype
?	?	?

is	is	is
there	there	there
a	a	a
better	better	better
alternative	altern	alternative
than	than	than
microwaves	microwav	microwave
?	?	?

>	>	>

>	>	>
of	of	of
course	cours	course
you	you	you
could	could	could
develope	develop	develope
this	this	this
system	system	system
,	,	,
but	but	but
there	there	there
is	is	is
already	alreadi	already
a	a	a
system	system	system
called	call	called
global	global	global

>	>	>
positioning	posit	positioning
satellites	satellit	satellite
.	.	.

it	it	it
gives	give	give
three	three	three
dimensional	dimension	dimensional
coordinates	coordin	coordinate
anywhere	anywher	anywhere
on	on	on
earth	earth	earth
.	.	.

>	>	>
many	mani	many
surveyors	surveyor	surveyor
use	use	use
this	this	this
system	system	system
with	with	with
a	a	a
differential	differenti	differential
receiver	receiv	receiver
/	/	/
transmitter	transmitt	transmitter
to	to	to
get	get	get

>	>	>
coordinates	coordin	coordinate
within	within	within
centimeters	centimet	centimeter
.	.	.

basic	basic	basic
receivers	receiv	receiver
with	with	with
resolution	resolut	resolution
of	of	of
a	a	a
few	few	few
meters	meter	meter
(	(	(
on	on	on

>	>	>
a	a	a
good	good	good
day	day	day
)	)	)
are	are	are
available	avail	available
from	from	from
many	mani	many
sources	sourc	source
.	.	.

>	>	>

>	>	>

>	>	>
-	-	-
-	-	-

>	>	>
wmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmw	wmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmw	wmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmwmw

>	>	>

>	>	>
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
weston	weston	weston
r	r	r
beal	beal	beal

>	>	>
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
sldf3@sol.ee.usu.edu	sldf3@sol.ee.usu.edu	sldf3@sol.ee.usu.edu

>	>	>
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
sldf3@cc.usu.edu	sldf3@cc.usu.edu	sldf3@cc.usu.edu

>	>	>
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
electrical	electr	electrical
engineer	engin	engineer

>	>	>
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
\	\	\
_	_	_
utah	utah	utah
state	state	state
university	univers	university

>	>	>

>	>	>
"	"	"
that	that	that
'	'	'
s	s	s
the	the	the
wonderful	wonder	wonderful
thing	thing	thing
about	about	about
crayons	crayon	crayon
;	;	;
they	they	they
can	can	can
take	take	take
you	you	you
to	to	to

>	>	>
more	more	more
places	place	place
than	than	than
a	a	a
starship	starship	starship
can	can	can
.	.	.
"	"	"
-	-	-
guinon	guinon	guinon

>	>	>

>	>	>

thought	thought	thought
it	it	it
means	mean	mean
global	global	global
positioning	posit	positioning
system	system	system
.	.	.

there	there	there
are	are	are
two	two	two
precision	precis	precision
levels	level	level
,	,	,
one	one	one
for	for	for
army	armi	army
applications	applic	application
(	(	(
killing	kill	killing
has	has	ha
to	to	to
be	be	be
very	veri	very
accurate	accur	accurate
today	today	today
)	)	)
and	and	and
one	one	one
for	for	for
civil	civil	civil
ones	one	one
.	.	.

the	the	the
civil	civil	civil
precision	precis	precision
is	is	is
about	about	about
20	20	20
to	to	to
30m	30m	30m
(	(	(
correct	correct	correct
me	me	me
,	,	,
if	if	if
i	i	i
'	'	'
m	m	m
wrong	wrong	wrong
)	)	)
,	,	,
though	though	though
,	,	,
it	it	it
may	may	may
be	be	be
insufficiant	insuffici	insufficiant
for	for	for
mapping	map	mapping
buildings	build	building
.	.	.

but	but	but
there	there	there
is	is	is
a	a	a
way	way	way
with	with	with
an	an	an
additional	addit	additional
reference	refer	reference
point	point	point
(	(	(
e	e	e
.	.	.
g	g	g
.	.	.
one	one	one
fixed	fix	fixed
gps	gps	gps
system	system	system
in	in	in
a	a	a
house	hous	house
)	)	)
to	to	to
get	get	get
the	the	the
same	same	same
high	high	high
precision	precis	precision
as	as	a
the	the	the
military	militari	military
version	version	version
,	,	,
but	but	but
it	it	it
gets	get	get
pretty	pretti	pretty
complicated	complic	complicated
then	then	then
.	.	.

if	if	if
you	you	you
use	use	use
a	a	a
microwave	microwav	microwave
system	system	system
(	(	(
actually	actual	actually
this	this	this
means	mean	mean
some	some	some
type	type	type
of	of	of
radar	radar	radar
)	)	)
,	,	,
you	you	you
need	need	need
quite	quit	quite
a	a	a
lot	lot	lot
of	of	of
number	number	number
crunching	crunch	crunching
to	to	to
get	get	get
accurate	accur	accurate
vectorized	vector	vectorized
data	data	data
out	out	out
of	of	of
your	your	your
original	origin	original
signals	signal	signal
.	.	.

so	so	so
the	the	the
gps	gps	gps
system	system	system
seems	seem	seems
to	to	to
be	be	be
the	the	the
better	better	better
(	(	(
and	and	and
running	run	running
)	)	)
idea	idea	idea
for	for	for
your	your	your
application	applic	application
(	(	(
there	there	there
have	have	have
been	been	been
discussions	discuss	discussion
in	in	in
this	this	this
newsgroup	newsgroup	newsgroup
,	,	,
don	don	don
'	'	'
t	t	t
know	know	know
of	of	of
an	an	an
address	address	address
anymore	anymor	anymore
)	)	)
.	.	.

cheers	cheer	cheer
robert	robert	robert
(	(	(
hb9nby	hb9nbi	hb9nby
)	)	)

-	-	-
-	-	-
robert	robert	robert
ganter	ganter	ganter
/	/	/
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
\	\	\
universitaet	universitaet	universitaet
basel	basel	basel
|	|	|
i	i	i
am	am	am
a	a	a
fan	fan	fan
|	|	|
institut	institut	institut
fuer	fuer	fuer
informatik	informatik	informatik
|	|	|
of	of	of
my	my	my
plan	plan	plan
|	|	|
basel	basel	basel
/	/	/
switzerland	switzerland	switzerland
\	\	\
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
/	/	/
ganter@ifi.unibas.ch	ganter@ifi.unibas.ch	ganter@ifi.unibas.ch
amateurradio	amateurradio	amateurradio
:	:	:
hb9nby	hb9nbi	hb9nby
packet	packet	packet
:	:	:
hb9nby@hb9eas.che.eu	hb9nby@hb9eas.che.eu	hb9nby@hb9eas.che.eu
