subject	subject	subject
:	:	:
teenage	teenag	teenage
acne	acn	acne

from	from	from
:	:	:
pchurch@swell.actrix.gen.nz	pchurch@swell.actrix.gen.nz	pchurch@swell.actrix.gen.nz
(	(	(
pat	pat	pat
churchill	churchil	churchill
)	)	)

organization	organ	organization
:	:	:
actrix	actrix	actrix
networks	network	network

lines	line	line
:	:	:
26	26	26

my	my	my
14	14	14
-	-	-
y	y	y
-	-	-
o	o	o
son	son	son
has	has	ha
the	the	the
usual	usual	usual
teenage	teenag	teenage
spotty	spotti	spotty
chin	chin	chin
and	and	and
greasy	greasi	greasy
nose	nose	nose
.	.	.

i	i	i
bought	bought	bought
him	him	him
clearasil	clearasil	clearasil
face	face	face
wash	wash	wash
and	and	and
ointment	ointment	ointment
.	.	.

i	i	i
think	think	think
that	that	that
is	is	is
probably	probabl	probably
enough	enough	enough
,	,	,
along	along	along
with	with	with
the	the	the
usual	usual	usual
good	good	good
diet	diet	diet
.	.	.

however	howev	however
,	,	,
he	he	he
is	is	is
on	on	on
at	at	at
me	me	me
to	to	to
get	get	get
some	some	some
product	product	product
called	call	called
dalacin	dalacin	dalacin
t	t	t
,	,	,
which	which	which
used	use	used
to	to	to
be	be	be
a	a	a
doctor	doctor	doctor
'	'	'
s	s	s
-	-	-
prescription	prescript	prescription
only	onli	only
treatment	treatment	treatment
but	but	but
is	is	is
not	not	not
available	avail	available
over	over	over
the	the	the
chemist	chemist	chemist
'	'	'
s	s	s
counter	counter	counter
.	.	.

i	i	i
have	have	have
asked	ask	asked
a	a	a
couple	coupl	couple
of	of	of
pharmacists	pharmacist	pharmacist
who	who	who
say	say	say
either	either	either
his	his	his
acne	acn	acne
is	is	is
not	not	not
severe	sever	severe
enough	enough	enough
for	for	for
dalacin	dalacin	dalacin
t	t	t
,	,	,
or	or	or
that	that	that
clearasil	clearasil	clearasil
is	is	is
ok	ok	ok
.	.	.

i	i	i
had	had	had
the	the	the
odd	odd	odd
spots	spot	spot
as	as	a
a	a	a
teenager	teenag	teenager
,	,	,
nothing	noth	nothing
serious	serious	serious
.	.	.

his	his	his
father	father	father
was	was	wa
the	the	the
same	same	same
,	,	,
so	so	so
i	i	i
don	don	don
'	'	'
t	t	t
figure	figur	figure
his	his	his
acne	acn	acne
is	is	is
going	go	going
to	to	to
escalate	escal	escalate
into	into	into
something	someth	something
disfiguring	disfigur	disfiguring
.	.	.

but	but	but
i	i	i
know	know	know
kids	kid	kid
are	are	are
senstitive	senstit	senstitive
about	about	about
their	their	their
appearance	appear	appearance
.	.	.

i	i	i
am	am	am
wary	wari	wary
because	becaus	because
a	a	a
neighbour	neighbour	neighbour
'	'	'
s	s	s
son	son	son
had	had	had
this	this	this
wierd	wierd	wierd
malady	maladi	malady
that	that	that
was	was	wa
eventually	eventu	eventually
put	put	put
down	down	down
to	to	to
an	an	an
overdose	overdos	overdose
of	of	of
vitamin	vitamin	vitamin
a	a	a
from	from	from
acne	acn	acne
treatment	treatment	treatment
.	.	.

i	i	i
want	want	want
to	to	to
help	help	help
-	-	-
but	but	but
with	with	with
appropriate	appropri	appropriate
treatment	treatment	treatment
.	.	.

my	my	my
son	son	son
also	also	also
has	has	ha
some	some	some
scaliness	scali	scaliness
around	around	around
the	the	the
hairline	hairlin	hairline
on	on	on
his	his	his
scalp	scalp	scalp
.	.	.

sort	sort	sort
of	of	of
teenage	teenag	teenage
cradle	cradl	cradle
cap	cap	cap
.	.	.

any	ani	any
pointers	pointer	pointer
/	/	/
advice	advic	advice
on	on	on
this	this	this
?	?	?

we	we	we
have	have	have
tried	tri	tried
a	a	a
couple	coupl	couple
of	of	of
anti	anti	anti
dandruff	dandruff	dandruff
shampoos	shampoo	shampoo
and	and	and
some	some	some
of	of	of
these	these	these
are	are	are
inclined	inclin	inclined
to	to	to
make	make	make
the	the	the
condition	condit	condition
worse	wors	worse
,	,	,
not	not	not
better	better	better
.	.	.

shall	shall	shall
i	i	i
bury	buri	bury
the	the	the
kid	kid	kid
till	till	till
he	he	he
'	'	'
s	s	s
21	21	21
:	:	:
)	)	)

-	-	-
-	-	-

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

the	the	the
floggings	flog	flogging
will	will	will
continue	continu	continue
until	until	until
morale	moral	morale
improves	improv	improves

pchurch@swell.actrix.gen.nz	pchurch@swell.actrix.gen.nz	pchurch@swell.actrix.gen.nz
pat	pat	pat
churchill	churchil	churchill
,	,	,
wellington	wellington	wellington
new	new	new
zealand	zealand	zealand
