subject	subject	subject
:	:	:
re	re	re
:	:	:
my	my	my
gun	gun	gun
is	is	is
like	like	like
my	my	my
american	american	american
express	express	express
card	card	card

from	from	from
:	:	:
steiner@jupiter.cse.utoledo.edu	steiner@jupiter.cse.utoledo.edu	steiner@jupiter.cse.utoledo.edu
(	(	(
jason	jason	jason
'	'	'
think	think	think
!	!	!
'	'	'
steiner	steiner	steiner
)	)	)

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
jupiter	jupit	jupiter
.	.	.
cse	cse	cse
.	.	.
utoledo	utoledo	utoledo
.	.	.
edu	edu	edu

x	x	x
-	-	-
newsreader	newsread	newsreader
:	:	:
tin	tin	tin
[	[	[
version	version	version
1	1	1
.	.	.
1	1	1
pl9	pl9	pl9
]	]	]

lines	line	line
:	:	:
58	58	58

jason	jason	jason
kratz	kratz	kratz
(	(	(
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
)	)	)
writes	write	writes
:	:	:

>	>	>
pa146008@utkvm1.utk.edu	pa146008@utkvm1.utk.edu	pa146008@utkvm1.utk.edu
(	(	(
david	david	david
veal	veal	veal
)	)	)
says	say	say
:	:	:

>	>	>
>	>	>
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>
writes	write	writes
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
don	don	don
'	'	'
t	t	t
be	be	be
silly	silli	silly
.	.	.

of	of	of
course	cours	course
you	you	you
can	can	can
.	.	.

the	the	the
police	polic	police
have	have	have
everything	everyth	everything

>	>	>
>	>	>
the	the	the
gangs	gang	gang
have	have	have
and	and	and
then	then	then
some	some	some
.	.	.

plus	plus	plus
they	they	they
'	'	'
ve	ve	ve
got	got	got
access	access	access
to	to	to
the	the	the

>	>	>
>	>	>
national	nation	national
guard	guard	guard
(	(	(
via	via	via
the	the	the
governor	governor	governor
)	)	)
if	if	if
things	thing	thing
get	get	get
too	too	too
rough	rough	rough
.	.	.

that	that	that
'	'	'
s	s	s

>	>	>
>	>	>
tanks	tank	tank
for	for	for
those	those	those
of	of	of
you	you	you
who	who	who
'	'	'
ve	ve	ve
never	never	never
seen	seen	seen
them	them	them
at	at	at
play	play	play
.	.	.

of	of	of
course	cours	course
,	,	,

>	>	>
>	>	>
they	they	they
'	'	'
ve	ve	ve
got	got	got
rifles	rifl	rifle
and	and	and
helicopters	helicopt	helicopter
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
and	and	and
as	as	a
far	far	far
as	as	a
fully	fulli	fully
-	-	-
automatic	automat	automatic
weapons	weapon	weapon
,	,	,
you	you	you
can	can	can
be	be	be
a	a	a
lot	lot	lot
better	better	better

>	>	>
>	>	>
armed	arm	armed
if	if	if
you	you	you
want	want	want
to	to	to
hit	hit	hit
what	what	what
you	you	you
aim	aim	aim
at	at	at
.	.	.

>	>	>

>	>	>
what	what	what
seems	seem	seems
to	to	to
be	be	be
happening	happen	happening
here	here	here
is	is	is
the	the	the
situation	situat	situation
getting	get	getting
totally	total	totally

>	>	>
blown	blown	blown
out	out	out
of	of	of
proportion	proport	proportion
.	.	.

in	in	in
my	my	my
post	post	post
i	i	i
was	was	wa
referring	refer	referring
to	to	to
your	your	your

>	>	>
regular	regular	regular
patrolman	patrolman	patrolman
in	in	in
a	a	a
car	car	car
cruising	cruis	cruising
around	around	around
the	the	the
city	citi	city
vs	vs	v
.	.	.

gang	gang	gang

>	>	>
members	member	member
.	.	.

of	of	of
course	cours	course
the	the	the
police	polic	police
have	have	have
access	access	access
to	to	to
the	the	the
things	thing	thing
that	that	that
you	you	you

>	>	>
mentioned	mention	mentioned
but	but	but
do	do	do
they	they	they
use	use	use
tanks	tank	tank
and	and	and
such	such	such
all	all	all
of	of	of
the	the	the
time	time	time
?	?	?

of	of	of

>	>	>
course	cours	course
they	they	they
don	don	don
'	'	'
t	t	t
and	and	and
that	that	that
'	'	'
s	s	s
the	the	the
point	point	point
i	i	i
was	was	wa
trying	tri	trying
to	to	to
make	make	make
.	.	.

every	everi	every

>	>	>
day	day	day
when	when	when
i	i	i
go	go	go
out	out	out
to	to	to
lunch	lunch	lunch
i	i	i
always	alway	always
see	see	see
cops	cop	cop
coming	come	coming
in	in	in
.	.	.

the	the	the

>	>	>
majority	major	majority
that	that	that
i	i	i
see	see	see
are	are	are
still	still	still
carrying	carri	carrying
revolvers	revolv	revolver
.	.	.

not	not	not
that	that	that
there	there	there

>	>	>
is	is	is
anything	anyth	anything
wrong	wrong	wrong
with	with	with
a	a	a
revolver	revolv	revolver
but	but	but
if	if	if
you	you	you
'	'	'
re	re	re
a	a	a
cop	cop	cop
that	that	that
is	is	is
up	up	up

>	>	>
against	against	against
some	some	some
gang	gang	gang
member	member	member
with	with	with
a	a	a
couple	coupl	couple
of	of	of
automatics	automat	automatic
in	in	in
his	his	his
coat	coat	coat
(	(	(
i	i	i

>	>	>
mean	mean	mean
semi	semi	semi
-	-	-
auto	auto	auto
handguns	handgun	handgun
)	)	)
you	you	you
'	'	'
re	re	re
going	go	going
to	to	to
be	be	be
at	at	at
a	a	a
disadvantage	disadvantag	disadvantage
even	even	even

>	>	>
with	with	with
training	train	training
.	.	.

how	how	how
so	so	so
?	?	?

i	i	i
think	think	think
you	you	you
'	'	'
re	re	re
making	make	making
assumptions	assumpt	assumption
here	here	here
that	that	that
might	might	might
not	not	not
necessarily	necessarili	necessarily
be	be	be
true	true	true
.	.	.

-	-	-
my	my	my
-	-	-
personal	person	personal
choice	choic	choice
would	would	would
be	be	be
a	a	a
semi	semi	semi
-	-	-
auto	auto	auto
,	,	,
but	but	but
revolvers	revolv	revolver
are	are	are
just	just	just
as	as	a
effective	effect	effective
,	,	,
if	if	if
not	not	not
more	more	more
so	so	so
.	.	.

>	>	>
i	i	i
have	have	have
been	been	been
at	at	at
a	a	a
shooting	shoot	shooting
range	rang	range
where	where	where
gang	gang	gang
gang	gang	gang
members	member	member
were	were	were

>	>	>
"	"	"
practicing	practic	practicing
"	"	"
shooting	shoot	shooting
.	.	.

they	they	they
were	were	were
actually	actual	actually
practicing	practic	practicing
taking	take	taking
out	out	out

>	>	>
their	their	their
guns	gun	gun
as	as	a
quick	quick	quick
as	as	a
possible	possibl	possible
and	and	and
shooting	shoot	shooting
at	at	at
the	the	the
target	target	target
and	and	and
they	they	they

>	>	>
weren	weren	weren
'	'	'
t	t	t
doing	do	doing
too	too	too
badly	bad	badly
either	either	either
.	.	.

relevancy	relev	relevancy
,	,	,
please	pleas	please
?	?	?

you	you	you
sound	sound	sound
shocked	shock	shocked
,	,	,
but	but	but
that	that	that
hardly	hard	hardly
proves	prove	prof
anything	anyth	anything
.	.	.

>	>	>
the	the	the
university	univers	university
cops	cop	cop
here	here	here
(	(	(
who	who	who
are	are	are
are	are	are
state	state	state
cops	cop	cop
)	)	)
are	are	are
armed	arm	armed
better	better	better

>	>	>
than	than	than
the	the	the
chicago	chicago	chicago
police	polic	police
.	.	.

it	it	it
seems	seem	seems
most	most	most
state	state	state
cops	cop	cop
are	are	are
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t

>	>	>
know	know	know
where	where	where
you	you	you
are	are	are
originally	origin	originally
from	from	from
david	david	david
but	but	but
you	you	you
live	live	live
in	in	in
tennesse	tenness	tennesse

>	>	>
and	and	and
i	i	i
live	live	live
in	in	in
chicago	chicago	chicago
and	and	and
see	see	see
this	this	this
crap	crap	crap
everyday	everyday	everyday
on	on	on
the	the	the
news	news	news
and	and	and
in	in	in

>	>	>
the	the	the
papers	paper	paper
.	.	.

i	i	i
think	think	think
the	the	the
situation	situat	situation
is	is	is
just	just	just
a	a	a
tad	tad	tad
different	differ	different
here	here	here

>	>	>
than	than	than
there	there	there
.	.	.

wait	wait	wait
,	,	,
doesn	doesn	doesn
'	'	'
t	t	t
chicago	chicago	chicago
have	have	have
-	-	-
serious	serious	serious
-	-	-
gun	gun	gun
control	control	control
?	?	?

if	if	if
so	so	so
,	,	,
why	whi	why
do	do	do
the	the	the
police	polic	police
need	need	need
all	all	all
that	that	that
firepower	firepow	firepower
in	in	in
the	the	the
first	first	first
place	place	place
?	?	?

(	(	(
sarcasm	sarcasm	sarcasm
alert	alert	alert
)	)	)

all	all	all
the	the	the
patrol	patrol	patrol
cars	car	car
i	i	i
'	'	'
ve	ve	ve
seen	seen	seen
around	around	around
here	here	here
have	have	have
shotguns	shotgun	shotgun
clamped	clamp	clamped
to	to	to
the	the	the
dash	dash	dash
board	board	board
.	.	.

imho	imho	imho
,	,	,
that	that	that
'	'	'
s	s	s
all	all	all
the	the	the
police	polic	police
need	need	need
to	to	to
outgun	outgun	outgun
just	just	just
about	about	about
anything	anyth	anything
.	.	.

jason	jason	jason

-	-	-
-	-	-

`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`

`	`	`
,	,	,
`	`	`
the	the	the
crystal	crystal	crystal
wind	wind	wind
is	is	is
the	the	the
storm	storm	storm
,	,	,
and	and	and
the	the	the
storm	storm	storm
is	is	is
data	data	data
,	,	,
and	and	and
the	the	the
data	data	data
`	`	`
,	,	,
`	`	`

`	`	`
,	,	,
`	`	`
is	is	is
life	life	life
-	-	-
-	-	-
the	the	the
player	player	player
'	'	'
s	s	s
litany	litani	litany
,	,	,
from	from	from
_the	_the	_the
long	long	long
run_	run_	run_
by	by	by
d	d	d
.	.	.
k	k	k
.	.	.
moran	moran	moran
`	`	`
,	,	,
`	`	`

`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
,	,	,
`	`	`
