nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
surt	surt	surt
.	.	.
ifi	ifi	ifi
.	.	.
uio	uio	uio
.	.	.
no	no	no

from	from	from
:	:	:
thomas	thoma	thomas
parsli	parsli	parsli
<	<	<
thomasp@ifi.uio.no	thomasp@ifi.uio.no	thomasp@ifi.uio.no
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
my	my	my
gun	gun	gun
is	is	is
like	like	like
my	my	my
american	american	american
express	express	express
card	card	card

in	in	in
-	-	-
reply	repli	reply
-	-	-
to	to	to
:	:	:
jmd@cube.handheld.com	jmd@cube.handheld.com	jmd@cube.handheld.com
(	(	(
jim	jim	jim
de	de	de
arras	arra	arras
)	)	)
'	'	'
s	s	s
message	messag	message
of	of	of
15	15	15
apr	apr	apr
1993	1993	1993

13	13	13
:	:	:
08	08	08
:	:	:
14	14	14
gmt	gmt	gmt
organization	organ	organization
:	:	:
dept	dept	dept
.	.	.

of	of	of
informatics	informat	informatics
,	,	,
university	univers	university
of	of	of
oslo	oslo	oslo
,	,	,
norway	norway	norway

<	<	<
1qjmnuinnlmd@clem.handheld.com	1qjmnuinnlmd@clem.handheld.com	1qjmnuinnlmd@clem.handheld.com
>	>	>
lines	line	line
:	:	:
73	73	73
originator	origin	originator
:	:	:
thomasp@surt.ifi.uio.no	thomasp@surt.ifi.uio.no	thomasp@surt.ifi.uio.no

i	i	i
hate	hate	hate
long	long	long
postings	post	posting
,	,	,
but	but	but
this	this	this
turned	turn	turned
out	out	out
to	to	to
be	be	be
rather	rather	rather
lengthy	lengthi	lengthy
.	.	.
.	.	.
.	.	.
.	.	.

overall	overal	overall
crime	crime	crime
rate	rate	rate
:	:	:

it	it	it
fell	fell	fell
.	.	.
.	.	.
.	.	.
.	.	.
just	just	just
like	like	like
that	that	that
.	.	.
.	.	.
.	.	.

acquiring	acquir	acquiring
weapons	weapon	weapon
in	in	in
norway	norway	norway
:	:	:

you	you	you
can	can	can
buy	buy	buy
(	(	(
almost	almost	almost
)	)	)
all	all	all
kinds	kind	kind
of	of	of
weapons	weapon	weapon
in	in	in
norway	norway	norway
,	,	,
but	but	but
you	you	you
must	must	must
have	have	have
a	a	a

permit	permit	permit
,	,	,
and	and	and
a	a	a
good	good	good
reason	reason	reason
to	to	to
get	get	get
the	the	the
permit	permit	permit
.	.	.
.	.	.
.	.	.
.	.	.

if	if	if
i	i	i
would	would	would
like	like	like
to	to	to
have	have	have
a	a	a
handgun	handgun	handgun
,	,	,
i	i	i
would	would	would
have	have	have
to	to	to
get	get	get
an	an	an
gun	gun	gun
-	-	-
licence	licenc	licence
from	from	from
the	the	the
police	polic	police
and	and	and
to	to	to
be	be	be
a	a	a
member	member	member
of	of	of
a	a	a
gun	gun	gun
-	-	-
club	club	club
.	.	.

the	the	the
police	polic	police
would	would	would
check	check	check
my	my	my
criminal	crimin	criminal
records	record	record
for	for	for
any	ani	any
serious	serious	serious
crimes	crime	crime
and	and	and
/	/	/
or	or	or
records	record	record
of	of	of
serious	serious	serious
mental	mental	mental
diseases	diseas	disease
.	.	.

now	now	now
,	,	,
if	if	if
a	a	a
got	got	got
my	my	my
licence	licenc	licence
,	,	,
i	i	i
would	would	would
have	have	have
to	to	to
be	be	be
an	an	an
active	activ	active
member	member	member
of	of	of
the	the	the
gun	gun	gun

-	-	-
club	club	club
for	for	for
6	6	6
months	month	month
before	befor	before
i	i	i
could	could	could
collect	collect	collect
my	my	my
gun	gun	gun
.	.	.

it	it	it
'	'	'
s	s	s
a	a	a
little	littl	little
like	like	like
getting	get	getting
a	a	a
drivers	driver	driver
licence	licenc	licence
isn	isn	isn
'	'	'
t	t	t
it	it	it
?	?	?
?	?	?
?	?	?

you	you	you
have	have	have
to	to	to
prove	prove	prove
that	that	that
you	you	you
can	can	can
drive	drive	drive
before	befor	before
you	you	you
are	are	are
allowed	allow	allowed
to	to	to
.	.	.
.	.	.
.	.	.

use	use	use
of	of	of
guns	gun	gun
in	in	in
crimes	crime	crime
(	(	(
in	in	in
norway	norway	norway
)	)	)
:	:	:
some	some	some
crimes	crime	crime
are	are	are
commited	commit	commited
with	with	with
guns	gun	gun
that	that	that
have	have	have
been	been	been
in	in	in
the	the	the
owners	owner	owner
'	'	'
arms	arm	arm
'	'	'
for	for	for
a	a	a
long	long	long
time	time	time
,	,	,
but	but	but
these	these	these
are	are	are
rather	rather	rather
the	the	the
exeption	exept	exeption
.	.	.

most	most	most
criminals	crimin	criminal
accuire	accuir	accuire
guns	gun	gun
to	to	to
use	use	use
them	them	them
in	in	in
crimes	crime	crime
,	,	,
and	and	and
mostly	most	mostly
short	short	short
time	time	time
befor	befor	befor
the	the	the
crime	crime	crime
.	.	.

use	use	use
of	of	of
knives	knive	knife
:	:	:

it	it	it
is	is	is
allowed	allow	allowed
to	to	to
cary	cari	cary
knifes	knife	knife
in	in	in
public	public	public
,	,	,
but	but	but
not	not	not
in	in	in
your	your	your
belt	belt	belt
or	or	or
'	'	'
open	open	open
'	'	'
.	.	.

you	you	you
(	(	(
americans	american	american
)	)	)
think	think	think
it	it	it
'	'	'
s	s	s
ok	ok	ok
to	to	to
have	have	have
a	a	a
gun	gun	gun
,	,	,
but	but	but
not	not	not
to	to	to
carry	carri	carry
it	it	it
open	open	open
in	in	in
public	public	public
-	-	-
rigth	rigth	rigth
?	?	?
?	?	?

scandinavians	scandinavian	scandinavian
are	are	are
'	'	'
aggressive	aggress	aggressive
'	'	'
:	:	:
we	we	we
northeners	northen	northeners
are	are	are
not	not	not
as	as	a
hot	hot	hot
-	-	-
livered	liver	livered
as	as	a
southeners	southen	southeners
,	,	,
but	but	but
when	when	when
we	we	we
decide	decid	decide
to	to	to
take	take	take
action	action	action
we	we	we
do	do	do
.	.	.

ask	ask	ask
any	ani	any
historian	historian	historian
or	or	or
millitary	millitari	millitary
with	with	with
an	an	an
knowledge	knowledg	knowledge
of	of	of
europe	europ	europe
.	.	.
.	.	.
.	.	.
.	.	.

(	(	(
or	or	or
ask	ask	ask
any	ani	any
german	german	german
who	who	who
served	serv	served
in	in	in
norway	norway	norway
in	in	in
ww2	ww2	ww2
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
)	)	)

individual	individu	individual
vs	vs	v
masses	mass	mass
:	:	:

yes	yes	yes
the	the	the
individual	individu	individual
is	is	is
more	more	more
important	import	important
than	than	than
the	the	the
masses	mass	mass
,	,	,
but	but	but
only	onli	only
to	to	to
some	some	some

extent	extent	extent
.	.	.
.	.	.
.	.	.
.	.	.

your	your	your
criminal	crimin	criminal
laws	law	law
are	are	are
to	to	to
protect	protect	protect
the	the	the
individuals	individu	individual
who	who	who
makes	make	make
the	the	the
masses	mass	mass
?	?	?
?	?	?

what	what	what
happens	happen	happens
when	when	when
the	the	the
rigths	rigth	rigths
of	of	of
some	some	some
individuals	individu	individual
affects	affect	affect
the	the	the
rights	right	right
of	of	of
all	all	all
the	the	the
others	other	others
?	?	?
?	?	?

the	the	the
issue	issu	issue
:	:	:

i	i	i
believe	believ	believe
the	the	the
issue	issu	issue
is	is	is
guns	gun	gun
,	,	,
and	and	and
gun	gun	gun
-	-	-
legislation	legisl	legislation
.	.	.

we	we	we
shouldn	shouldn	shouldn
'	'	'
t	t	t
mix	mix	mix
weapons	weapon	weapon
and	and	and
items	item	item
that	that	that
can	can	can
serve	serv	serve
as	as	a
one	one	one
.	.	.
.	.	.
.	.	.
.	.	.

if	if	if
i	i	i
lived	live	lived
in	in	in
amerika	amerika	amerika
i	i	i
would	would	would
probably	probabl	probably
have	have	have
a	a	a
gun	gun	gun
to	to	to
defend	defend	defend
myselfe	myself	myselfe
in	in	in
home	home	home
.	.	.

but	but	but
should	should	should
it	it	it
have	have	have
to	to	to
be	be	be
like	like	like
that	that	that
?	?	?
?	?	?

do	do	do
you	you	you
think	think	think
it	it	it
'	'	'
s	s	s
wise	wise	wise
to	to	to
sell	sell	sell
guns	gun	gun
like	like	like
candy	candi	candy
(	(	(
some	some	some
states	state	state
do	do	do
.	.	.
.	.	.
.	.	.
)	)	)
?	?	?
?	?	?

if	if	if
you	you	you
believe	believ	believe
it	it	it
'	'	'
s	s	s
smart	smart	smart
/	/	/
neccacery	neccaceri	neccacery
to	to	to
have	have	have
drivers	driver	driver
-	-	-
licence	licenc	licence
why	whi	why
do	do	do
you	you	you
think	think	think
it	it	it
should	should	should
be	be	be
free	free	free
to	to	to
buy	buy	buy
guns	gun	gun
?	?	?
?	?	?

disclaim	disclaim	disclaim
-	-	-
her	her	her
:	:	:

i	i	i
'	'	'
m	m	m
not	not	not
a	a	a
pacifist	pacifist	pacifist
or	or	or
anti	anti	anti
gun	gun	gun
.	.	.

i	i	i
would	would	would
defend	defend	defend
my	my	my
home	home	home
,	,	,
loved	love	loved
ones	one	one
and	and	and
country	countri	country
,	,	,
but	but	but
i	i	i
don	don	don
'	'	'
t	t	t
view	view	view
guns	gun	gun
as	as	a
neccities	necciti	neccities
or	or	or
toys	toy	toy
.	.	.

i	i	i
have	have	have
done	done	done
army	armi	army
service	servic	service
,	,	,
and	and	and
have	have	have
used	use	used
a	a	a
variaty	variati	variaty
of	of	of
weapons	weapon	weapon
,	,	,
but	but	but
wouldn	wouldn	wouldn
'	'	'
t	t	t
want	want	want
to	to	to
have	have	have
one	one	one
for	for	for
self	self	self
defence	defenc	defence
or	or	or
because	becaus	because
they	they	they
'	'	'
feel	feel	feel
good	good	good
'	'	'
.	.	.
.	.	.
.	.	.
.	.	.

this	this	this
is	is	is
not	not	not
a	a	a
.	.	.
signature	signatur	signature
.	.	.

it	it	it
'	'	'
s	s	s
marly	mar	marly
a	a	a
computergenerated	computergener	computergenerated
text	text	text
to	to	to
waste	wast	waste
bandwith	bandwith	bandwith

and	and	and
to	to	to
bring	bring	bring
down	down	down
the	the	the
evil	evil	evil
internet	internet	internet
.	.	.

thomas	thoma	thomas
parsli	parsli	parsli

thomasp@ifi.uio.no	thomasp@ifi.uio.no	thomasp@ifi.uio.no
