subject	subject	subject
:	:	:
re	re	re
:	:	:
how	how	how
many	mani	many
israeli	isra	israeli
soldiers	soldier	soldier
does	doe	doe
it	it	it
take	take	take
to	to	to
kill	kill	kill
a	a	a
5	5	5
yr	yr	yr
old	old	old
child	child	child
?	?	?

from	from	from
:	:	:
jhsegal@wiscon.weizmann.ac.il	jhsegal@wiscon.weizmann.ac.il	jhsegal@wiscon.weizmann.ac.il
(	(	(
livian	livian	livian
segal	segal	segal
)	)	)

organization	organ	organization
:	:	:
weizmann	weizmann	weizmann
institute	institut	institute
of	of	of
science	scienc	science
,	,	,
computation	comput	computation
center	center	center

lines	line	line
:	:	:
16	16	16

in	in	in
article	articl	article
<	<	<
1qhv50	1qhv50	1qhv50
$	$	$
222@bagel.cs.huji.ac.il	222@bagel.cs.huji.ac.il	222@bagel.cs.huji.ac.il
>	>	>
ranen@falafel.cs.huji.ac.il	ranen@falafel.cs.huji.ac.il	ranen@falafel.cs.huji.ac.il
(	(	(
ranen	ranen	ranen
goren	goren	goren
)	)	)
writes	write	writes
:	:	:

>	>	>
q	q	q
:	:	:
how	how	how
many	mani	many
nick	nick	nick
steel	steel	steel
'	'	'
s	s	s
does	doe	doe
it	it	it
take	take	take
to	to	to
twist	twist	twist
any	ani	any
truth	truth	truth
around	around	around
?	?	?

>	>	>
a	a	a
:	:	:
only	onli	only
one	one	one
,	,	,
and	and	and
thank	thank	thank
god	god	god
there	there	there
'	'	'
s	s	s
only	onli	only
one	one	one
.	.	.

>	>	>

>	>	>
ranen	ranen	ranen
.	.	.

absolutely	absolut	absolutely
not	not	not
true	true	true
!	!	!

there	there	there
are	are	are
lots	lot	lot
of	of	of
them	them	them
!	!	!

_____	_____	_____
__livian__	__livian__	__livian__
______	______	______
___	___	___
__segal__	__segal__	__segal__
__	__	__
__	__	__
__	__	__
__	__	__
__	__	__

*	*	*
\	\	\
/	/	/
*	*	*
|	|	|
|	|	|
\	\	\
\	\	\
\	\	\
|	|	|
|	|	|
|	|	|
|	|	|
\	\	\
|	|	|

*	*	*
*	*	*
*	*	*
\	\	\
/	/	/
*	*	*
*	*	*
*	*	*
|	|	|
|	|	|
|	|	|
__	__	__
|	|	|
/	/	/
_	_	_
\	\	\
\	\	\
|	|	|
|	|	|
|	|	|
|	|	|
\	\	\
|	|	|

|	|	|
-	-	-
-	-	-
-	-	-
o	o	o
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
|	|	|
/	/	/
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
|	|	|
\	\	\
|	|	|

\	\	\
/	/	/
*	*	*
\	\	\
/	/	/
\	\	\
___	___	___
/	/	/
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
\	\	\
|	|	|
|	|	|
\	\	\
___	___	___
/	/	/
|	|	|
/	/	/
|	|	|

\	\	\
/	/	/
*	*	*
*	*	*
*	*	*
\	\	\
/	/	/
/	/	/
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
/	/	/
|	|	|
|	|	|
vm	vm	vm
/	/	/
cms	cms	cm
:	:	:
jhsegall@weizmann.weizmann.ac.il	jhsegall@weizmann.weizmann.ac.il	jhsegall@weizmann.weizmann.ac.il
unix	unix	unix
:	:	:
jhsegal@wiscon.weizmann.ac.il	jhsegal@wiscon.weizmann.ac.il	jhsegal@wiscon.weizmann.ac.il
