x	x	x
-	-	-
mailer	mailer	mailer
:	:	:
tmail	tmail	tmail
version	version	version
1	1	1
.	.	.
17r	17r	17r
from	from	from
:	:	:
"	"	"
d	d	d
.	.	.
c	c	c
.	.	.
sessions	session	session
"	"	"
<	<	<
dcs@witsend.tnet.com	dcs@witsend.tnet.com	dcs@witsend.tnet.com
>	>	>
organization	organ	organization
:	:	:
nobody	nobodi	nobody
but	but	but
me	me	me
-	-	-
-	-	-
really	realli	really
subject	subject	subject
:	:	:
re	re	re
:	:	:
was	was	wa
:	:	:
go	go	go
hezbollah	hezbollah	hezbollah
!	!	!

distribution	distribut	distribution
:	:	:
world	world	world

lines	line	line
:	:	:
61	61	61

in	in	in
<	<	<
1993apr16.130037.18830@ncsu.edu	1993apr16.130037.18830@ncsu.edu	1993apr16.130037.18830@ncsu.edu
>	>	>
,	,	,
hernlem@chess.ncsu.edu	hernlem@chess.ncsu.edu	hernlem@chess.ncsu.edu
(	(	(
brad	brad	brad
hernlem	hernlem	hernlem
)	)	)
wrote	wrote	wrote
:	:	:

#	#	#
in	in	in
article	articl	article
<	<	<
2bce0918.6105@news.service.uci.edu	2bce0918.6105@news.service.uci.edu	2bce0918.6105@news.service.uci.edu
>	>	>
,	,	,
tclock@orion.oac.uci.edu	tclock@orion.oac.uci.edu	tclock@orion.oac.uci.edu
(	(	(
tim	tim	tim
clock	clock	clock
)	)	)
writes	write	writes
:	:	:

#	#	#
|	|	|
>	>	>
in	in	in
article	articl	article
<	<	<
apr15.175334.72079@yuma.acns.colostate.edu	apr15.175334.72079@yuma.acns.colostate.edu	apr15.175334.72079@yuma.acns.colostate.edu
>	>	>
bh437292@lance.colostate.edu	bh437292@lance.colostate.edu	bh437292@lance.colostate.edu
writes	write	writes
:	:	:

#	#	#
|	|	|
>	>	>
>	>	>

#	#	#
|	|	|
>	>	>
>	>	>
it	it	it
is	is	is
not	not	not
a	a	a
"	"	"
terrorist	terrorist	terrorist
camp	camp	camp
"	"	"
as	as	a
you	you	you
and	and	and
the	the	the
israelis	isra	israeli
like	like	like

#	#	#
|	|	|
>	>	>
>	>	>
to	to	to
view	view	view
the	the	the
villages	villag	village
they	they	they
are	are	are
small	small	small
communities	communiti	community
with	with	with
kids	kid	kid
playing	play	playing
soccer	soccer	soccer

#	#	#
|	|	|
>	>	>
>	>	>
in	in	in
the	the	the
streets	street	street
,	,	,
women	women	woman
preparing	prepar	preparing
lunch	lunch	lunch
,	,	,
men	men	men
playing	play	playing
cards	card	card
,	,	,
etc	etc	etc
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

#	#	#
|	|	|
>	>	>
>	>	>
some	some	some
young	young	young
men	men	men
,	,	,
usually	usual	usually
aged	age	aged
between	between	between
17	17	17
to	to	to
30	30	30
years	year	year
are	are	are
members	member	member
of	of	of

#	#	#
|	|	|
>	>	>
>	>	>
the	the	the
lebanese	lebanes	lebanese
resistance	resist	resistance
.	.	.

even	even	even
the	the	the
inhabitants	inhabit	inhabitant
of	of	of
the	the	the
village	villag	village
do	do	do
not	not	not

#	#	#
|	|	|
>	>	>
>	>	>
know	know	know
who	who	who
these	these	these
are	are	are
,	,	,
they	they	they
are	are	are
secretive	secret	secretive
about	about	about
it	it	it
,	,	,
but	but	but
most	most	most
people	peopl	people
often	often	often

#	#	#
|	|	|
>	>	>
>	>	>
suspect	suspect	suspect
who	who	who
they	they	they
are	are	are
and	and	and
what	what	what
they	they	they
are	are	are
up	up	up
to	to	to
.	.	.

these	these	these
young	young	young
men	men	men
are	are	are

#	#	#
|	|	|
>	>	>
>	>	>
supported	support	supported
financially	financi	financially
by	by	by
iran	iran	iran
most	most	most
of	of	of
the	the	the
time	time	time
.	.	.

they	they	they
sneak	sneak	sneak
arms	arm	arm
and	and	and

#	#	#
|	|	|
>	>	>
>	>	>
ammunitions	ammunit	ammunition
into	into	into
the	the	the
occupied	occupi	occupied
zone	zone	zone
where	where	where
they	they	they
set	set	set
up	up	up
booby	boobi	booby
traps	trap	trap

#	#	#
|	|	|
>	>	>
>	>	>
for	for	for
israeli	isra	israeli
patrols	patrol	patrol
.	.	.

every	everi	every
time	time	time
an	an	an
israeli	isra	israeli
soldier	soldier	soldier
is	is	is
killed	kill	killed
or	or	or
injured	injur	injured

#	#	#
|	|	|
>	>	>
>	>	>
by	by	by
these	these	these
traps	trap	trap
,	,	,
israel	israel	israel
retalliates	retalli	retalliates
by	by	by
indiscriminately	indiscrimin	indiscriminately
bombing	bomb	bombing
villages	villag	village

#	#	#
|	|	|
>	>	>
>	>	>
of	of	of
their	their	their
own	own	own
choosing	choos	choosing
often	often	often
killing	kill	killing
only	onli	only
innocent	innoc	innocent
civilians	civilian	civilian
.	.	.

#	#	#
|	|	|
>	>	>

#	#	#
|	|	|
>	>	>
this	this	this
a	a	a
"	"	"
tried	tri	tried
and	and	and
true	true	true
"	"	"
method	method	method
utilized	util	utilized
by	by	by
guerilla	guerilla	guerilla
and	and	and
terrorists	terrorist	terrorist
groups	group	group
:	:	:

#	#	#
|	|	|
>	>	>
to	to	to
conduct	conduct	conduct
operations	oper	operation
in	in	in
the	the	the
midst	midst	midst
of	of	of
the	the	the
local	local	local
populace	populac	populace
,	,	,
thus	thus	thus
forcing	forc	forcing
the	the	the

