subject	subject	subject
:	:	:
re	re	re
:	:	:
news	news	news
you	you	you
may	may	may
have	have	have
missed	miss	missed
,	,	,
3	3	3
/	/	/
23	23	23

from	from	from
:	:	:
sgoldste@aludra.usc.edu	sgoldste@aludra.usc.edu	sgoldste@aludra.usc.edu
(	(	(
fogbound	fogbound	fogbound
child	child	child
)	)	)

>	>	>
<	<	<
1pklht	1pklht	1pklht
$	$	$
krf@genesis.mcs.com	krf@genesis.mcs.com	krf@genesis.mcs.com
>	>	>
<	<	<
1pprtvinnctl@aludra.usc.edu	1pprtvinnctl@aludra.usc.edu	1pprtvinnctl@aludra.usc.edu
>	>	>
<	<	<
1pqfbd	1pqfbd	1pqfbd
$	$	$
e6b@genesis.mcs.com	e6b@genesis.mcs.com	e6b@genesis.mcs.com
>	>	>
organization	organ	organization
:	:	:
university	univers	university
of	of	of
southern	southern	southern
california	california	california
,	,	,
los	los	los
angeles	angel	angeles
,	,	,
ca	ca	ca
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
aludra	aludra	aludra
.	.	.
usc	usc	usc
.	.	.
edu	edu	edu
lines	line	line
:	:	:
47	47	47

arf@genesis.mcs.com	arf@genesis.mcs.com	arf@genesis.mcs.com
(	(	(
jack	jack	jack
schmidling	schmidl	schmidling
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
1pprtvinnctl@aludra.usc.edu	1pprtvinnctl@aludra.usc.edu	1pprtvinnctl@aludra.usc.edu
>	>	>
sgoldste@aludra.usc.edu	sgoldste@aludra.usc.edu	sgoldste@aludra.usc.edu
(	(	(
fogbound	fogbound	fogbound
child	child	child
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
arf@genesis.mcs.com	arf@genesis.mcs.com	arf@genesis.mcs.com
(	(	(
jack	jack	jack
schmidling	schmidl	schmidling
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
1993apr1.164804.1105@rapnet.sanders.lockheed.com	1993apr1.164804.1105@rapnet.sanders.lockheed.com	1993apr1.164804.1105@rapnet.sanders.lockheed.com
>	>	>
babb	babb	babb
@	@	@
k2	k2	k2
(	(	(
scott	scott	scott
babb	babb	babb
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
jack	jack	jack
schmidling	schmidl	schmidling
(	(	(
arf@genesis.mcs.com	arf@genesis.mcs.com	arf@genesis.mcs.com
)	)	)
wrote	wrote	wrote
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
:	:	:
jac2y@virginia.edu	jac2y@virginia.edu	jac2y@virginia.edu
(	(	(
jonathan	jonathan	jonathan
a	a	a
.	.	.

cook	cook	cook
<	<	<
jac2y	jac2i	jac2y
>	>	>
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
:	:	:
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
[	[	[
.	.	.
.	.	.
.	.	.
]	]	]

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
>	>	>
why	whi	why
do	do	do
you	you	you
restrict	restrict	restrict
your	your	your
condemnation	condemn	condemnation
of	of	of
racial	racial	racial
strife	strife	strife
to	to	to
israel	israel	israel
?	?	?

>	>	>
>	>	>
>	>	>
>	>	>
do	do	do
the	the	the
situations	situat	situation
in	in	in
bosnia	bosnia	bosnia
,	,	,
tibet	tibet	tibet
,	,	,
china	china	china
,	,	,
etc	etc	etc
.	.	.

not	not	not
merit	merit	merit
your	your	your
comment	comment	comment
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
as	as	a
far	far	far
as	as	a
i	i	i
am	am	am
aware	awar	aware
,	,	,
we	we	we
have	have	have
not	not	not
sent	sent	sent
close	close	close
to	to	to
$	$	$
100	100	100
billion	billion	billion
dollars	dollar	dollar
to	to	to

>	>	>
>	>	>
^	^	^
^	^	^
^	^	^

>	>	>
>	>	>
let	let	let
'	'	'
s	s	s
not	not	not
exaggerate	exagger	exaggerate
.	.	.

>	>	>
i	i	i
notice	notic	notice
you	you	you
did	did	did
not	not	not
offer	offer	offer
an	an	an
alternative	altern	alternative
number	number	number
.	.	.

try	tri	try
this	this	this
one	one	one
on	on	on
for	for	for

>	>	>
size	size	size
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

by	by	by
the	the	the
year	year	year
2000	2000	2000
,	,	,
american	american	american
taxpayers	taxpay	taxpayer
will	will	will
have	have	have
given	given	given
israel	israel	israel

>	>	>
one	one	one
dollar	dollar	dollar
for	for	for
every	everi	every
star	star	star
in	in	in
the	the	the
milky	milki	milky
way	way	way
galaxy	galaxi	galaxy
.	.	.

>	>	>
i	i	i
will	will	will
let	let	let
you	you	you
look	look	look
up	up	up
the	the	the
number	number	number
.	.	.

ok	ok	ok
,	,	,
i	i	i
admit	admit	admit
i	i	i
have	have	have
no	no	no
hard	hard	hard
data	data	data
on	on	on
this	this	this
.	.	.

why	whi	why
don	don	don
'	'	'
t	t	t
you	you	you
help	help	help
me	me	me
with	with	with
this	this	this
?	?	?

if	if	if
you	you	you
would	would	would
compile	compil	compile
a	a	a
commented	comment	commented
list	list	list
of	of	of
all	all	all
grants	grant	grant
,	,	,
un	un	un
-	-	-
repaid	repaid	repaid
loans	loan	loan
(	(	(
if	if	if
any	ani	any
)	)	)
,	,	,
and	and	and
direct	direct	direct
aid	aid	aid
,	,	,
i	i	i
'	'	'
d	d	d
be	be	be
very	veri	very
interested	interest	interested
to	to	to
see	see	see
it	it	it
.	.	.

if	if	if
you	you	you
could	could	could
give	give	give
me	me	me
references	refer	reference
from	from	from
,	,	,
for	for	for
example	exampl	example
,	,	,
congressional	congression	congressional
budget	budget	budget
authorization	author	authorization
hearings	hear	hearing
,	,	,
i	i	i
could	could	could
look	look	look
them	them	them
up	up	up
here	here	here
and	and	and
i	i	i
'	'	'
d	d	d
be	be	be
happy	happi	happy
to	to	to
post	post	post
a	a	a
verification	verif	verification
of	of	of
your	your	your
data	data	data
.	.	.

otherwise	otherwis	otherwise
,	,	,
i	i	i
'	'	'
ll	ll	ll
try	tri	try
my	my	my
hand	hand	hand
at	at	at
this	this	this
,	,	,
but	but	but
unfortunately	unfortun	unfortunately
i	i	i
won	won	won
'	'	'
t	t	t
have	have	have
sufficient	suffici	sufficient
time	time	time
available	avail	available
until	until	until
the	the	the
end	end	end
of	of	of
this	this	this
month	month	month
,	,	,
so	so	so
the	the	the
results	result	result
would	would	would
be	be	be
delayed	delay	delayed
.	.	.

let	let	let
me	me	me
know	know	know
if	if	if
you	you	you
'	'	'
re	re	re
interested	interest	interested
in	in	in
doing	do	doing
this	this	this
.	.	.

___samuel___	___samuel___	___samuel___
mossad	mossad	mossad
special	special	special
agent	agent	agent
id314159	id314159	id314159
media	media	medium
spiking	spike	spiking
and	and	and
mind	mind	mind
control	control	control
division	divis	division
los	los	los
angeles	angel	angeles
offices	offic	office

-	-	-
-	-	-

_________pratice	_________pratic	_________pratice
safe	safe	safe
.	.	.
signature	signatur	signature
!	!	!

prevent	prevent	prevent
dangerous	danger	dangerous
signature	signatur	signature
virii	virii	virii
!	!	!
_______	_______	_______
guildenstern	guildenstern	guildenstern
:	:	:
our	our	our
names	name	name
shouted	shout	shouted
in	in	in
a	a	a
certain	certain	certain
dawn	dawn	dawn
.	.	.
.	.	.
.	.	.

a	a	a
message	messag	message
.	.	.
.	.	.
.	.	.

a	a	a

summons	summon	summons
.	.	.
.	.	.
.	.	.

there	there	there
must	must	must
have	have	have
been	been	been
a	a	a
moment	moment	moment
,	,	,
at	at	at
the	the	the
beginning	begin	beginning
,	,	,
where	where	where
we	we	we
could	could	could
have	have	have
said	said	said
-	-	-
-	-	-
no	no	no
.	.	.

but	but	but
somehow	somehow	somehow
we	we	we
missed	miss	missed
it	it	it
.	.	.
