organization	organ	organization
:	:	:
students	student	student
for	for	for
increased	increas	increased
beverage	beverag	beverage
access	access	access
(	(	(
siba	siba	siba
)	)	)

from	from	from
:	:	:
mark	mark	mark
'	'	'
mark	mark	mark
'	'	'
sachs	sach	sachs
<	<	<
mbs110@psuvm.psu.edu	mbs110@psuvm.psu.edu	mbs110@psuvm.psu.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
top	top	top
ten	ten	ten
excuses	excus	excuse
for	for	for
slick	slick	slick
willie	willi	willie
'	'	'
s	s	s
record	record	record
-	-	-
setting	set	setting
disapproval	disapprov	disapproval
rati	rati	rati

<	<	<
93105.032616mbs110@psuvm.psu.edu	93105.032616mbs110@psuvm.psu.edu	93105.032616mbs110@psuvm.psu.edu
>	>	>
<	<	<
1qkl3i	1qkl3i	1qkl3i
$	$	$
9bj@usenet.ins.cwru.edu	9bj@usenet.ins.cwru.edu	9bj@usenet.ins.cwru.edu
>	>	>
lines	line	line
:	:	:
49	49	49

in	in	in
article	articl	article
<	<	<
1qkl3i	1qkl3i	1qkl3i
$	$	$
9bj@usenet.ins.cwru.edu	9bj@usenet.ins.cwru.edu	9bj@usenet.ins.cwru.edu
>	>	>
,	,	,
an030@cleveland.freenet.edu	an030@cleveland.freenet.edu	an030@cleveland.freenet.edu

(	(	(
broward	broward	broward
horne	horn	horne
)	)	)
says	say	say
:	:	:

>	>	>
in	in	in
a	a	a
previous	previous	previous
article	articl	article
,	,	,
mbs110@psuvm.psu.edu	mbs110@psuvm.psu.edu	mbs110@psuvm.psu.edu
(	(	(
mark	mark	mark
'	'	'
mark	mark	mark
'	'	'
sachs	sach	sachs
)	)	)
says	say	say
:	:	:

>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
1qhr73	1qhr73	1qhr73
$	$	$
a8d@usenet.ins.cwru.edu	a8d@usenet.ins.cwru.edu	a8d@usenet.ins.cwru.edu
>	>	>
,	,	,
an030@cleveland.freenet.edu	an030@cleveland.freenet.edu	an030@cleveland.freenet.edu

>	>	>
>	>	>
(	(	(
broward	broward	broward
horne	horn	horne
)	)	)
says	say	say
:	:	:

>	>	>
>	>	>
>	>	>
it	it	it
sure	sure	sure
does	doe	doe
appear	appear	appear
that	that	that
way	way	way
,	,	,
doesn	doesn	doesn
'	'	'
t	t	t
it	it	it
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
the	the	the
attitude	attitud	attitude
that	that	that
people	peopl	people
are	are	are
stupid	stupid	stupid
if	if	if
they	they	they
don	don	don
'	'	'
t	t	t
agree	agre	agree
with	with	with
you	you	you
is	is	is
not	not	not

>	>	>
>	>	>
going	go	going
to	to	to
bring	bring	bring
you	you	you
great	great	great
success	success	success
in	in	in
life	life	life
.	.	.

free	free	free
advice	advic	advice
,	,	,
there	there	there
.	.	.

>	>	>
whew	whew	whew
.	.	.

mark	mark	mark
,	,	,
what	what	what
on	on	on
earth	earth	earth
makes	make	make
you	you	you
think	think	think
i	i	i
give	give	give
a	a	a
fuck	fuck	fuck

>	>	>
about	about	about
being	be	being
a	a	a
"	"	"
success	success	success
"	"	"
,	,	,
particularly	particular	particularly
now	now	now
when	when	when
i	i	i
'	'	'
ll	ll	ll
just	just	just

>	>	>
the	the	the
hell	hell	hell
taxed	tax	taxed
out	out	out
of	of	of
me	me	me
?	?	?

oh	oh	oh
,	,	,
this	this	this
is	is	is
excellent	excel	excellent
.	.	.

that	that	that
was	was	wa
hardly	hard	hardly
the	the	the
point	point	point
,	,	,
was	was	wa
it	it	it
?	?	?

i	i	i
was	was	wa
commenting	comment	commenting
on	on	on
this	this	this
all	all	all
-	-	-
too	too	too
-	-	-
common	common	common
republican	republican	republican
attitude	attitud	attitude
that	that	that
if	if	if
people	peopl	people
disagree	disagre	disagree
with	with	with
us	us	u
,	,	,
they	they	they
must	must	must
be	be	be
idiots	idiot	idiot
,	,	,
they	they	they
must	must	must
be	be	be
sheep	sheep	sheep
being	be	being
led	led	led
around	around	around
by	by	by
the	the	the
evil	evil	evil
liberal	liber	liberal
media	media	medium
conspiracy	conspiraci	conspiracy
.	.	.

this	this	this
is	is	is
a	a	a
dangerous	danger	dangerous
attitude	attitud	attitude
indeed	inde	indeed
.	.	.

because	becaus	because
it	it	it
'	'	'
s	s	s
not	not	not
a	a	a
very	veri	very
big	big	big
step	step	step
from	from	from
"	"	"
people	peopl	people
are	are	are
sheep	sheep	sheep
,	,	,
they	they	they
can	can	can
'	'	'
t	t	t
think	think	think
for	for	for
themselves	themselv	themselves
"	"	"
to	to	to
"	"	"
people	peopl	people
are	are	are
sheep	sheep	sheep
and	and	and
need	need	need
firm	firm	firm
leadership	leadership	leadership
from	from	from
we	we	we
,	,	,
who	who	who
know	know	know
better	better	better
"	"	"
.	.	.
.	.	.
.	.	.

this	this	this
sort	sort	sort
of	of	of
attitude	attitud	attitude
makes	make	make
me	me	me
worry	worri	worry
about	about	about
what	what	what
'	'	'
ll	ll	ll
happen	happen	happen
to	to	to
the	the	the
united	unit	united
states	state	state
if	if	if
the	the	the
extremist	extremist	extremist
wing	wing	wing
of	of	of
the	the	the
republican	republican	republican
party	parti	party
ever	ever	ever
gets	get	get
back	back	back
into	into	into
power	power	power
again	again	again
.	.	.

>	>	>
holy	holi	holy
christ	christ	christ
!	!	!

:	:	:
)	)	)

hey	hey	hey
!	!	!

this	this	this
is	is	is
a	a	a
government	govern	government
-	-	-
funded	fund	funded
newsgroup	newsgroup	newsgroup
!	!	!

let	let	let
'	'	'
s	s	s
have	have	have
some	some	some
separation	separ	separation
of	of	of
church	church	church
and	and	and
state	state	state
