subject	subject	subject
:	:	:
re	re	re
:	:	:
after	after	after
2000	2000	2000
years	year	year
,	,	,
can	can	can
we	we	we
say	say	say
that	that	that
christian	christian	christian
m	m	m

from	from	from
:	:	:
nunnally@acs.harding.edu	nunnally@acs.harding.edu	nunnally@acs.harding.edu
(	(	(
john	john	john
nunnally	nunnal	nunnally
)	)	)

<	<	<
kmr4.1587.734911207@po.cwru.edu	kmr4.1587.734911207@po.cwru.edu	kmr4.1587.734911207@po.cwru.edu
>	>	>
<	<	<
1qkoel	1qkoel	1qkoel
$	$	$
5fr@horus.ap.mchp.sni.de	5fr@horus.ap.mchp.sni.d	5fr@horus.ap.mchp.sni.de
>	>	>
<	<	<
1qksc2	1qksc2	1qksc2
$	$	$
2mr@fido.asd.sgi.com	2mr@fido.asd.sgi.com	2mr@fido.asd.sgi.com
>	>	>
distribution	distribut	distribution
:	:	:
world	world	world
organization	organ	organization
:	:	:
harding	hard	harding
university	univers	university
,	,	,
searcy	searci	searcy
,	,	,
ar	ar	ar
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
acs	ac	ac
.	.	.
harding	hard	harding
.	.	.
edu	edu	edu
x	x	x
-	-	-
news	news	news
-	-	-
reader	reader	reader
:	:	:
vms	vms	vms
news	news	news
1	1	1
.	.	.
24in	24in	24in
-	-	-
reply	repli	reply
-	-	-
to	to	to
:	:	:
livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com
'	'	'
s	s	s
message	messag	message
of	of	of
15	15	15
apr	apr	apr
93	93	93
23	23	23
:	:	:
50	50	50
:	:	:
26	26	26
gmtlines	gmtline	gmtlines
:	:	:
67	67	67
lines	line	line
:	:	:
67	67	67

in	in	in
<	<	<
1qksc2	1qksc2	1qksc2
$	$	$
2mr@fido.asd.sgi.com	2mr@fido.asd.sgi.com	2mr@fido.asd.sgi.com
>	>	>
livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
1qkoel	1qkoel	1qkoel
$	$	$
5fr@horus.ap.mchp.sni.de	5fr@horus.ap.mchp.sni.d	5fr@horus.ap.mchp.sni.de
>	>	>
,	,	,
frank@d012s658.uucp	frank@d012s658.uucp	frank@d012s658.uucp
(	(	(
frank	frank	frank
o	o	o
'	'	'
dwyer	dwyer	dwyer
)	)	)
writes	write	writes
:	:	:

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
good	good	good
question	question	question
,	,	,
my	my	my
point	point	point
was	was	wa
that	that	that
a	a	a
world	world	world
with	with	with
truth	truth	truth
is	is	is
better	better	better
than	than	than
a	a	a
world	world	world

>	>	>
|	|	|
>	>	>
with	with	with
falsehood	falsehood	falsehood
.	.	.

a	a	a
world	world	world
in	in	in
which	which	which
it	it	it
were	were	were
possible	possibl	possible
to	to	to
say	say	say
"	"	"
yes	yes	yes
,	,	,
i	i	i
am	am	am

>	>	>
|	|	|
>	>	>
holding	hold	holding
a	a	a
jew	jew	jew
"	"	"
(	(	(
the	the	the
truth	truth	truth
)	)	)
and	and	and
you	you	you
,	,	,
me	me	me
,	,	,
the	the	the
jew	jew	jew
,	,	,
and	and	and
the	the	the
ss	ss	s
guy	guy	guy
all	all	all
sit	sit	sit

>	>	>
|	|	|
>	>	>
down	down	down
to	to	to
crack	crack	crack
open	open	open
a	a	a
bottle	bottl	bottle
of	of	of
whiskey	whiskey	whiskey
is	is	is
better	better	better
than	than	than
the	the	the
grim	grim	grim
alternatives	altern	alternative

>	>	>
|	|	|
>	>	>
you	you	you
present	present	present
.	.	.

obviously	obvious	obviously
,	,	,
this	this	this
is	is	is
not	not	not
possible	possibl	possible
,	,	,
and	and	and
the	the	the
best	best	best
alternative	altern	alternative
seems	seem	seems

>	>	>
|	|	|
>	>	>
to	to	to
be	be	be
to	to	to
lie	lie	lie
.	.	.

that	that	that
'	'	'
s	s	s
because	becaus	because
other	other	other
values	valu	value
are	are	are
involved	involv	involved
,	,	,
such	such	such
as	as	a
life	life	life
.	.	.

>	>	>
|	|	|
>	>	>
now	now	now
that	that	that
is	is	is
just	just	just
my	my	my
opinion	opinion	opinion
-	-	-
don	don	don
'	'	'
t	t	t
confuse	confus	confuse
the	the	the
claim	claim	claim
'	'	'
objective	object	objective
morality	moral	morality

>	>	>
|	|	|
>	>	>
exists	exist	exists
'	'	'
with	with	with
the	the	the
claim	claim	claim
'	'	'
i	i	i
have	have	have
a	a	a
lock	lock	lock
on	on	on
morals	moral	moral
'	'	'
.	.	.

>	>	>

>	>	>
i	i	i
think	think	think
that	that	that
at	at	at
this	this	this
point	point	point
it	it	it
would	would	would
actually	actual	actually
be	be	be
quite	quit	quite
easy	easi	easy
to	to	to

>	>	>
confuse	confus	confuse
objective	object	objective
morality	moral	morality
with	with	with
relative	relat	relative
morality	moral	morality
.	.	.

>	>	>

>	>	>
jon	jon	jon
.	.	.

actually	actual	actually
,	,	,
jon	jon	jon
,	,	,
that	that	that
is	is	is
quite	quit	quite
true	true	true
.	.	.

christian	christian	christian
people	peopl	people
have	have	have
caused	caus	caused

"	"	"
objective	object	objective
morality	moral	morality
"	"	"
to	to	to
look	look	look
very	veri	very
"	"	"
relative	relat	relative
.	.	.
"	"	"
after	after	after
all	all	all
,	,	,
that	that	that
was	was	wa
the	the	the
point	point	point
of	of	of
the	the	the
original	origin	original
question	question	question
in	in	in
this	this	this
thread	thread	thread
,	,	,
i	i	i
.	.	.
e	e	e
.	.	.
can	can	can
we	we	we
toss	toss	toss
out	out	out
christianity	christian	christianity
because	becaus	because
it	it	it
is	is	is
so	so	so
obviously	obvious	obviously
inconsistent	inconsist	inconsistent
with	with	with
its	it	it
own	own	own
principles	principl	principle
?	?	?

if	if	if
you	you	you
will	will	will
bear	bear	bear
with	with	with
me	me	me
,	,	,
i	i	i
will	will	will
attempt	attempt	attempt
to	to	to
explain	explain	explain
this	this	this
apparent	appar	apparent
inconsistency	inconsist	inconsistency
from	from	from
at	at	at
least	least	least
one	one	one
christian	christian	christian
'	'	'
s	s	s
viewpoint	viewpoint	viewpoint
:	:	:

if	if	if
god	god	god
exists	exist	exists
and	and	and
is	is	is
the	the	the
creator	creator	creator
of	of	of
mankind	mankind	mankind
as	as	a
the	the	the
bible	bibl	bible
claims	claim	claim
,	,	,
then	then	then
he	he	he
has	has	ha
a	a	a
pretty	pretti	pretty
well	well	well
-	-	-
defined	defin	defined
concept	concept	concept
of	of	of
what	what	what
makes	make	make
people	peopl	people
tick	tick	tick
physically	physic	physically
,	,	,
emotionally	emot	emotionally
,	,	,
etc	etc	etc
.	.	.

god	god	god
has	has	ha
an	an	an
"	"	"
objective	object	objective
"	"	"
morality	moral	morality
for	for	for
us	us	u
.	.	.

that	that	that
is	is	is
to	to	to
say	say	say
,	,	,
he	he	he
has	has	ha
no	no	no
trouble	troubl	trouble
understanding	understand	understanding
what	what	what
is	is	is
good	good	good
for	for	for
(	(	(
or	or	or
detrimental	detriment	detrimental
to	to	to
)	)	)
the	the	the
creature	creatur	creature
he	he	he
created	creat	created
.	.	.

galatians	galatian	galatian
2	2	2
:	:	:
10	10	10
-	-	-
-	-	-
for	for	for
we	we	we
[	[	[
mankind	mankind	mankind
]	]	]
are	are	are
his	his	his
workmanship	workmanship	workmanship
,	,	,
created	creat	created
in	in	in

christ	christ	christ
jesus	jesus	jesus
for	for	for
good	good	good
works	work	work
[	[	[
a	a	a
morality	moral	morality
]	]	]
,	,	,
which	which	which
god	god	god
prepared	prepar	prepared

beforehand	beforehand	beforehand
[	[	[
a	a	a
well	well	well
-	-	-
defined	defin	defined
design	design	design
]	]	]
,	,	,
that	that	that
we	we	we
might	might	might
walk	walk	walk
in	in	in
them	them	them
.	.	.

however	howev	however
,	,	,
contrary	contrari	contrary
to	to	to
what	what	what
many	mani	many
people	peopl	people
assume	assum	assume
(	(	(
including	includ	including
the	the	the
pharasees	pharase	pharasees
of	of	of
the	the	the
bible	bibl	bible
,	,	,
)	)	)
god	god	god
'	'	'
s	s	s
morality	moral	morality
cannot	cannot	cannot
be	be	be
completely	complet	completely
codified	codifi	codified
in	in	in
a	a	a
list	list	list
of	of	of
rules	rule	rule
and	and	and
regulations	regul	regulation
.	.	.

to	to	to
some	some	some
extent	extent	extent
,	,	,
every	everi	every
activity	activ	activity
of	of	of
a	a	a
person	person	person
'	'	'
s	s	s
life	life	life
creates	creat	creates
a	a	a
new	new	new
situation	situat	situation
to	to	to
which	which	which
morality	moral	morality
must	must	must
be	be	be
applied	appli	applied
.	.	.

there	there	there
never	never	never
could	could	could
be	be	be
enough	enough	enough
volumes	volum	volume
to	to	to
codify	codifi	codify
god	god	god
'	'	'
s	s	s

"	"	"
objective	object	objective
"	"	"
morality	moral	morality
for	for	for
us	us	u
.	.	.

throughout	throughout	throughout
history	histori	history
,	,	,
mankind	mankind	mankind
has	has	ha
tried	tri	tried
to	to	to
reduce	reduc	reduce
morality	moral	morality
to	to	to
a	a	a
list	list	list
of	of	of
rules	rule	rule
(	(	(
objectivity	object	objectivity
,	,	,
if	if	if
you	you	you
please	pleas	please
.	.	.
)	)	)
in	in	in
the	the	the
old	old	old
testament	testament	testament
,	,	,
we	we	we
have	have	have
both	both	both
principles	principl	principle
and	and	and
specific	specif	specific
rules	rule	rule
.	.	.

by	by	by
the	the	the
time	time	time
of	of	of
jesus	jesus	jesus
,	,	,
most	most	most
of	of	of
the	the	the
principles	principl	principle
were	were	were
obscured	obscur	obscured
by	by	by
the	the	the
emphasis	emphasi	emphasis
men	men	men
had	had	had
placed	place	placed
on	on	on
the	the	the
rules	rule	rule
.	.	.

volumes	volum	volume
of	of	of
additional	addit	additional
rules	rule	rule
had	had	had
been	been	been
made	made	made
to	to	to
try	tri	try
to	to	to
codify	codifi	codify
the	the	the
application	applic	application
of	of	of
the	the	the
principles	principl	principle
.	.	.

we	we	we
[	[	[
mankind	mankind	mankind
]	]	]
weren	weren	weren
'	'	'
t	t	t
comfortable	comfort	comfortable
with	with	with
the	the	the
"	"	"
subjectivity	subject	subjectivity
"	"	"
of	of	of
principles	principl	principle
.	.	.

for	for	for
reference	refer	reference
see	see	see
matthew	matthew	matthew
5	5	5
where	where	where
jesus	jesus	jesus
explains	explain	explains
the	the	the
difference	differ	difference

between	between	between
the	the	the
law	law	law
and	and	and
the	the	the
principles	principl	principle
of	of	of
the	the	the
law	law	law
.	.	.

for	for	for
example	exampl	example
,	,	,
in	in	in

verses	vers	verse
21	21	21
-	-	-
22	22	22
:	:	:
