organization	organ	organization
:	:	:
penn	penn	penn
state	state	state
university	univers	university

from	from	from
:	:	:
<	<	<
dgs4@psuvm.psu.edu	dgs4@psuvm.psu.edu	dgs4@psuvm.psu.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
abortion	abort	abortion
and	and	and
private	privat	private
health	health	health
coverage	coverag	coverage
-	-	-
-	-	-
letters	letter	letter
regarding	regard	regarding

<	<	<
sandvik-140493233557@sandvik-kent.apple.com	sandvik-140493233557@sandvik-kent.apple.com	sandvik-140493233557@sandvik-kent.apple.com
>	>	>
<	<	<
1qk73q	1qk73q	1qk73q
$	$	$
3fj@agate.berkeley.edu	3fj@agate.berkeley.edu	3fj@agate.berkeley.edu
>	>	>

<	<	<
syt5br_@rpi.edu	syt5br_@rpi.edu	syt5br_@rpi.edu
>	>	>
<	<	<
nyikos.735335582@milo.math.scarolina.edu	nyikos.735335582@milo.math.scarolina.edu	nyikos.735335582@milo.math.scarolina.edu
>	>	>
lines	line	line
:	:	:
41	41	41

in	in	in
article	articl	article
<	<	<
nyikos.735335582@milo.math.scarolina.edu	nyikos.735335582@milo.math.scarolina.edu	nyikos.735335582@milo.math.scarolina.edu
>	>	>
,	,	,
nyikos@math.scarolina.edu	nyikos@math.scarolina.edu	nyikos@math.scarolina.edu

(	(	(
peter	peter	peter
nyikos	nyiko	nyikos
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
in	in	in
<	<	<
syt5br_@rpi.edu	syt5br_@rpi.edu	syt5br_@rpi.edu
>	>	>
rocker@acm.rpi.edu	rocker@acm.rpi.edu	rocker@acm.rpi.edu
(	(	(
rocker	rocker	rocker
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
in	in	in
<	<	<
1qk73q	1qk73q	1qk73q
$	$	$
3fj@agate.berkeley.edu	3fj@agate.berkeley.edu	3fj@agate.berkeley.edu
>	>	>
dzkriz@ocf.berkeley.edu	dzkriz@ocf.berkeley.edu	dzkriz@ocf.berkeley.edu
(	(	(
dennis	denni	dennis
kriz	kriz	kriz
)	)	)

>	>	>
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
>	>	>
if	if	if
one	one	one
is	is	is
paying	pay	paying
for	for	for
a	a	a
private	privat	private
health	health	health
insurance	insur	insurance
plan	plan	plan
and	and	and
does	doe	doe
not	not	not
want	want	want

>	>	>
>	>	>
>	>	>
"	"	"
abortion	abort	abortion
coverage	coverag	coverage
"	"	"
there	there	there
is	is	is
no	no	no
reason	reason	reason
for	for	for
that	that	that
person	person	person
to	to	to
be	be	be
complelled	complel	complelled

>	>	>
>	>	>
>	>	>
to	to	to
pay	pay	pay
for	for	for
it	it	it
.	.	.

(	(	(
just	just	just
as	as	a
one	one	one
should	should	should
not	not	not
be	be	be
compelled	compel	compelled
to	to	to
pay	pay	pay
for	for	for
lipposuction	lipposuct	lipposuction

>	>	>
>	>	>
>	>	>
coverage	coverag	coverage
if	if	if
one	one	one
doesn	doesn	doesn
'	'	'
t	t	t
want	want	want
that	that	that
kind	kind	kind
of	of	of
coverage	coverag	coverage
)	)	)
.	.	.

>	>	>

>	>	>
>	>	>
you	you	you
appear	appear	appear
to	to	to
be	be	be
stunningly	stun	stunningly
ignorant	ignor	ignorant
of	of	of
the	the	the
underlying	under	underlying
concept	concept	concept
of	of	of
health	health	health

>	>	>
>	>	>
insurance	insur	insurance
.	.	.

>	>	>

>	>	>
are	are	are
you	you	you
any	ani	any
less	less	less
stunningly	stun	stunningly
ignorant	ignor	ignorant
?	?	?

have	have	have
you	you	you
ever	ever	ever
heard	heard	heard
of	of	of
life	life	life

>	>	>
insurance	insur	insurance
premiums	premium	premium
some	some	some
companies	compani	company
give	give	give
in	in	in
which	which	which
nonsmokers	nonsmok	nonsmoker
are	are	are
charged	charg	charged

>	>	>
much	much	much
smaller	smaller	smaller
premiums	premium	premium
than	than	than
smokers	smoker	smoker
?	?	?

>	>	>

>	>	>
not	not	not
to	to	to
mention	mention	mention
auto	auto	auto
insurance	insur	insurance
being	be	being
much	much	much
cheaper	cheaper	cheaper
for	for	for
women	women	woman
under	under	under
