from	from	from
:	:	:
cash@convex.com	cash@convex.com	cash@convex.com
(	(	(
peter	peter	peter
cash	cash	cash
)	)	)

subject	subject	subject
:	:	:
raid	raid	raid
justification	justif	justification
was	was	wa
:	:	:
blast	blast	blast
them	them	them
next	next	next
time	time	time

distribution	distribut	distribution
:	:	:
usa	usa	usa

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
zeppelin	zeppelin	zeppelin
.	.	.
convex	convex	convex
.	.	.
com	com	com

organization	organ	organization
:	:	:
the	the	the
instrumentality	instrument	instrumentality

x	x	x
-	-	-
disclaimer	disclaim	disclaimer
:	:	:
this	this	this
message	messag	message
was	was	wa
written	written	written
by	by	by
a	a	a
user	user	user
at	at	at
convex	convex	convex
computer	comput	computer

corp	corp	corp
.	.	.

the	the	the
opinions	opinion	opinion
expressed	express	expressed
are	are	are
those	those	those
of	of	of
the	the	the
user	user	user
and	and	and

not	not	not
necessarily	necessarili	necessarily
those	those	those
of	of	of
convex	convex	convex
.	.	.

lines	line	line
:	:	:
27	27	27

in	in	in
article	articl	article
<	<	<
1r1chu	1r1chu	1r1chu
$	$	$
h22@pandora.sdsu.edu	h22@pandora.sdsu.edu	h22@pandora.sdsu.edu
>	>	>
chiu@io.nosc.mil	chiu@io.nosc.mil	chiu@io.nosc.mil
(	(	(
francis	franci	francis
chiu	chiu	chiu
)	)	)
writes	write	writes
:	:	:

>	>	>
initial	initi	initial
assault	assault	assault
on	on	on
the	the	the
"	"	"
compound	compound	compound
"	"	"
(	(	(
more	more	more
like	like	like
a	a	a
wooden	wooden	wooden
farm	farm	farm
house	hous	house
if	if	if

>	>	>
it	it	it
burned	burn	burned
to	to	to
the	the	the
ground	ground	ground
like	like	like
it	it	it
did	did	did
)	)	)
for	for	for
what	what	what
?	?	?

regardless	regardless	regardless
of	of	of
who	who	who

>	>	>
started	start	started
/	/	/
caused	caus	caused
the	the	the
fire	fire	fire
,	,	,
none	none	none
of	of	of
this	this	this
would	would	would
have	have	have
happened	happen	happened
if	if	if
the	the	the

>	>	>
atf	atf	atf
can	can	can
honestly	honest	honestly
justify	justifi	justify
their	their	their
initial	initi	initial
assault	assault	assault
and	and	and
handled	handl	handled
it	it	it

>	>	>
properly	proper	properly
!	!	!

i	i	i
just	just	just
got	got	got
through	through	through
listening	listen	listening
to	to	to
the	the	the
10	10	10
o	o	o
'	'	'
clock	clock	clock
news	news	news
on	on	on
channel	channel	channel
4	4	4
here	here	here
in	in	in
dallas	dalla	dallas
.	.	.

they	they	they
trotted	trot	trotted
out	out	out
a	a	a
list	list	list
of	of	of
justifications	justif	justification
produced	produc	produced
by	by	by
the	the	the
atf	atf	atf
after	after	after

"	"	"
months	month	month
of	of	of
investigation	investig	investigation
"	"	"
for	for	for
their	their	their
raid	raid	raid
.	.	.

i	i	i
couldn	couldn	couldn
'	'	'
t	t	t
believe	believ	believe
the	the	the
junk	junk	junk
on	on	on
this	this	this
list	list	list
!	!	!

for	for	for
example	exampl	example
,	,	,
the	the	the
bds	bds	bd
were	were	were
accused	accus	accused
of	of	of
stockpiling	stockpil	stockpiling
a	a	a
bunch	bunch	bunch
of	of	of
"	"	"
9mm	9mm	9mm
and	and	and
.	.	.
223	223	223
ammunition	ammunit	ammunition
that	that	that
can	can	can
be	be	be
used	use	used
in	in	in
m15	m15	m15
and	and	and
m16	m16	m16
assault	assault	assault
rifles	rifl	rifle
"	"	"
.	.	.

imagine	imagin	imagine
that	that	that
-	-	-
-	-	-
they	they	they
had	had	had
ammunition	ammunit	ammunition
!	!	!

they	they	they
also	also	also
had	had	had
aluminum	aluminum	aluminum
dust	dust	dust
!	!	!

(	(	(
yeah	yeah	yeah
,	,	,
it	it	it
'	'	'
s	s	s
a	a	a
component	compon	component
of	of	of
thermite	thermit	thermite
,	,	,
but	but	but
so	so	so
far	far	far
i	i	i
haven	haven	haven
'	'	'
t	t	t
heard	heard	heard
that	that	that
it	it	it
'	'	'
s	s	s
illegal	illeg	illegal
to	to	to
take	take	take
a	a	a
grinder	grinder	grinder
to	to	to
the	the	the
aluminum	aluminum	aluminum
lawn	lawn	lawn
furniture	furnitur	furniture
.	.	.
.	.	.
.	.	.
)	)	)
the	the	the
only	onli	only
thing	thing	thing
on	on	on
the	the	the
