from	from	from
:	:	:
higgins@fnalf.fnal.gov	higgins@fnalf.fnal.gov	higgins@fnalf.fnal.gov
(	(	(
bill	bill	bill
higgins	higgin	higgins
-	-	-
-	-	-
beam	beam	beam
jockey	jockey	jockey
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
science	scienc	science
news	news	news
article	articl	article
on	on	on
federal	feder	federal
r	r	r
&	&	&
d	d	d

organization	organ	organization
:	:	:
fermi	fermi	fermi
national	nation	national
accelerator	acceler	accelerator
laboratory	laboratori	laboratory

lines	line	line
:	:	:
24	24	24

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
fnalf	fnalf	fnalf
.	.	.
fnal	fnal	fnal
.	.	.
gov	gov	gov

in	in	in
article	articl	article
<	<	<
c5r2dk.764@skates.gsfc.nasa.gov	c5r2dk.764@skates.gsfc.nasa.gov	c5r2dk.764@skates.gsfc.nasa.gov
>	>	>
,	,	,
xrcjd@resolve.gsfc.nasa.gov	xrcjd@resolve.gsfc.nasa.gov	xrcjd@resolve.gsfc.nasa.gov
(	(	(
charles	charl	charles
j	j	j
.	.	.

divine	divin	divine
)	)	)
writes	write	writes
:	:	:

>	>	>
just	just	just
a	a	a
pointer	pointer	pointer
to	to	to
the	the	the
article	articl	article
in	in	in
the	the	the
current	current	current
science	scienc	science
news	news	news
article	articl	article

>	>	>
on	on	on
federal	feder	federal
r	r	r
&	&	&
d	d	d
funding	fund	funding
.	.	.

>	>	>

>	>	>
very	veri	very
briefly	briefli	briefly
,	,	,
all	all	all
r	r	r
&	&	&
d	d	d
is	is	is
being	be	being
shifted	shift	shifted
to	to	to
gaining	gain	gaining
current	current	current

>	>	>
competitive	competit	competitive
advantage	advantag	advantage
from	from	from
things	thing	thing
like	like	like
military	militari	military
and	and	and
other	other	other
work	work	work
that	that	that

>	>	>
does	doe	doe
not	not	not
have	have	have
as	as	a
much	much	much
commercial	commerci	commercial
utility	util	utility
.	.	.

>	>	>
-	-	-
-	-	-

>	>	>
chuck	chuck	chuck
divine	divin	divine

gulp	gulp	gulp
.	.	.

[	[	[
disclaimer	disclaim	disclaimer
:	:	:
this	this	this
opinion	opinion	opinion
is	is	is
mine	mine	mine
and	and	and
does	doe	doe
not	not	not
represent	repres	represent
the	the	the
views	view	view
of	of	of
fermilab	fermilab	fermilab
,	,	,
universities	univers	university
research	research	research
association	associ	association
,	,	,
the	the	the
department	depart	department
of	of	of
energy	energi	energy
,	,	,
or	or	or
the	the	the
49th	49th	49th
ward	ward	ward
regular	regular	regular
science	scienc	science
fiction	fiction	fiction
organization	organ	organization
.	.	.
]	]	]

-	-	-
-	-	-

o	o	o
~	~	~
~	~	~
*	*	*
/	/	/
_	_	_
)	)	)
'	'	'
/	/	/
/	/	/
/	/	/
_	_	_
/	/	/
'	'	'
,	,	,
,	,	,
'	'	'
,	,	,
_	_	_
_	_	_
\	\	\
|	|	|
/	/	/

-	-	-
~	~	~
-	-	-
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
/	/	/
_	_	_
)	)	)
/	/	/
/	/	/
/	/	/
/	/	/
/	/	/
/	/	/
(	(	(
_	_	_
)	)	)
(	(	(
_	_	_
)	)	)
/	/	/
/	/	/
/	/	/
_	_	_
\	\	\
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
zap	zap	zap
!	!	!

/	/	/
\	\	\
(	(	(
_	_	_
)	)	)
(	(	(
_	_	_
)	)	)
/	/	/
|	|	|
\	\	\

|	|	|
|	|	|
bill	bill	bill
higgins	higgin	higgins
fermi	fermi	fermi
national	nation	national
accelerator	acceler	accelerator
laboratory	laboratori	laboratory

\	\	\
/	/	/
bitnet	bitnet	bitnet
:	:	:
higgins@fnal.bitnet	higgins@fnal.bitnet	higgins@fnal.bitnet

-	-	-
-	-	-
internet	internet	internet
:	:	:
higgins@fnal.fnal.gov	higgins@fnal.fnal.gov	higgins@fnal.fnal.gov

~	~	~
span	span	span
/	/	/
hepnet	hepnet	hepnet
:	:	:
43011	43011	43011
:	:	:
:	:	:
higgins	higgin	higgins
