from	from	from
:	:	:
kpeterso@nyx.cs.du.edu	kpeterso@nyx.cs.du.edu	kpeterso@nyx.cs.du.edu
(	(	(
kirk	kirk	kirk
peterson	peterson	peterson
)	)	)

subject	subject	subject
:	:	:
ibm	ibm	ibm
software	softwar	software
for	for	for
sale	sale	sale
,	,	,
cheap	cheap	cheap
!	!	!

organization	organ	organization
:	:	:
nyx	nyx	nyx
,	,	,
public	public	public
access	access	access
unix	unix	unix
@	@	@
u	u	u
.	.	.

of	of	of
denver	denver	denver
math	math	math
/	/	/
cs	cs	c
dept	dept	dept
.	.	.

lines	line	line
:	:	:
76	76	76

for	for	for
sale	sale	sale
.	.	.
.	.	.
.	.	.
:	:	:

three	three	three
software	softwar	software
packages	packag	package
for	for	for
ibm	ibm	ibm
pc	pc	pc
and	and	and
compatible	compat	compatible
computers	comput	computer
:	:	:

o	o	o
wing	wing	wing
commander	command	commander
deluxe	delux	deluxe
edition	edit	edition

o	o	o
includes	includ	includes
secret	secret	secret
missions	mission	mission
1	1	1
&	&	&
2	2	2

o	o	o
includes	includ	includes
all	all	all
original	origin	original
packaging	packag	packaging
,	,	,
manuals	manual	manual

and	and	and
disks	disk	disk

o	o	o
includes	includ	includes
registration	registr	registration
card	card	card
(	(	(
so	so	so
you	you	you
can	can	can

send	send	send
it	it	it
in	in	in
and	and	and
register	regist	register
it	it	it
in	in	in
your	your	your
name	name	name
)	)	)

o	o	o
original	origin	original
price	price	price
for	for	for
wing	wing	wing
commander	command	commander
:	:	:
$	$	$
69	69	69
.	.	.
95	95	95

o	o	o
original	origin	original
price	price	price
for	for	for
secret	secret	secret
missions	mission	mission
i	i	i
:	:	:
$	$	$
29	29	29
.	.	.
95	95	95

o	o	o
original	origin	original
price	price	price
for	for	for
secret	secret	secret
missions	mission	mission
ii	ii	ii
:	:	:
$	$	$
29	29	29
.	.	.
95	95	95

o	o	o
total	total	total
original	origin	original
price	price	price
:	:	:
$	$	$
129	129	129
.	.	.
85	85	85

o	o	o
my	my	my
asking	ask	asking
price	price	price
for	for	for
all	all	all
these	these	these
of	of	of
these	these	these

games	game	game
together	togeth	together
is	is	is
$	$	$
65	65	65
.	.	.
00	00	00

o	o	o
wing	wing	wing
commander	command	commander
and	and	and
the	the	the
secret	secret	secret
missions	mission	mission
is	is	is
a	a	a

battle	battl	battle
and	and	and
flight	flight	flight
simulator	simul	simulator
set	set	set
in	in	in
space	space	space
.	.	.

it	it	it

includes	includ	includes
all	all	all
the	the	the
standard	standard	standard
fun	fun	fun
things	thing	thing
about	about	about

flight	flight	flight
simulators	simul	simulator
,	,	,
like	like	like
taking	take	taking
off	off	off
and	and	and
landing	land	landing

on	on	on
carriers	carrier	carrier
,	,	,
flying	fli	flying
-	-	-
-	-	-
of	of	of
course	cours	course
-	-	-
-	-	-
and	and	and
better	better	better

yet	yet	yet
,	,	,
it	it	it
is	is	is
also	also	also
a	a	a
battle	battl	battle
simulator	simul	simulator
.	.	.

it	it	it
is	is	is
a	a	a

lot	lot	lot
of	of	of
fun	fun	fun
,	,	,
indeed	inde	indeed
.	.	.

o	o	o
an	an	an
ibm	ibm	ibm
pc	pc	pc
or	or	or
compatible	compat	compatible
with	with	with
at	at	at
least	least	least
640k	640k	640k
,	,	,
and	and	and

dual	dual	dual
floppies	floppi	floppy
or	or	or
a	a	a
hard	hard	hard
drive	drive	drive
is	is	is
required	requir	required
.	.	.

o	o	o
winway	winway	winway
resume	resum	resume
for	for	for
windows	window	window

o	o	o
includes	includ	includes
all	all	all
original	origin	original
packaging	packag	packaging
,	,	,
manuals	manual	manual

and	and	and
disks	disk	disk

o	o	o
original	origin	original
price	price	price
:	:	:
$	$	$
50	50	50
.	.	.
00	00	00

o	o	o
my	my	my
asking	ask	asking
price	price	price
:	:	:
$	$	$
35	35	35
.	.	.
00	00	00

o	o	o
winway	winway	winway
resume	resum	resume
is	is	is
a	a	a
resume	resum	resume
writing	write	writing
program	program	program
for	for	for

windows	window	window
.	.	.

it	it	it
is	is	is
an	an	an
excellent	excel	excellent
program	program	program
(	(	(
it	it	it
got	got	got

me	me	me
a	a	a
job	job	job
!	!	!
)	)	)
and	and	and
running	run	running
under	under	under
the	the	the
window	window	window
'	'	'
s	s	s

interface	interfac	interface
makes	make	make
it	it	it
very	veri	very
,	,	,
very	veri	very
easy	easi	easy
to	to	to
use	use	use
.	.	.

all	all	all

you	you	you
do	do	do
is	is	is
answer	answer	answer
a	a	a
few	few	few
questions	question	question
,	,	,
and	and	and
print	print	print
out	out	out

the	the	the
results	result	result
.	.	.

in	in	in
just	just	just
a	a	a
few	few	few
minutes	minut	minute
,	,	,
you	you	you
have	have	have
a	a	a

beautifully	beauti	beautifully
and	and	and
professionally	profession	professionally
designed	design	designed
resume	resum	resume
.	.	.

o	o	o
an	an	an
ibm	ibm	ibm
pc	pc	pc
with	with	with
windows	window	window
3	3	3
.	.	.
0	0	0
or	or	or
later	later	later
installed	instal	installed

and	and	and
1	1	1
mb	mb	mb
of	of	of
free	free	free
hard	hard	hard
disk	disk	disk
space	space	space
is	is	is
required	requir	required
.	.	.

o	o	o
more	more	more
typefaces	typefac	typeface

o	o	o
includes	includ	includes
all	all	all
original	origin	original
packaging	packag	packaging
,	,	,
manuals	manual	manual

and	and	and
disks	disk	disk

o	o	o
original	origin	original
price	price	price
:	:	:
$	$	$
99	99	99
.	.	.
99	99	99

o	o	o
my	my	my
asking	ask	asking
price	price	price
:	:	:
$	$	$
30	30	30
.	.	.
00	00	00

o	o	o
more	more	more
typefaces	typefac	typeface
is	is	is
a	a	a
package	packag	package
of	of	of
three	three	three
typetype	typetyp	typetype

font	font	font
families	famili	family
(	(	(
for	for	for
a	a	a
total	total	total
of	of	of
twelve	twelv	twelve
fonts	font	font
)	)	)
for	for	for

windows	window	window
3	3	3
.	.	.
1	1	1
.	.	.
the	the	the
fonts	font	font
included	includ	included
are	are	are
:	:	:
marque	marqu	marque
,	,	,
crystal	crystal	crystal
and	and	and
architech	architech	architech
,	,	,
and	and	and
of	of	of
course	cours	course
italic	ital	italic
,	,	,
bold	bold	bold
and	and	and
bold	bold	bold
italic	ital	italic
versions	version	version
are	are	are
included	includ	included
with	with	with

all	all	all
those	those	those
fonts	font	font
.	.	.

because	becaus	because
of	of	of
the	the	the
unique	uniqu	unique
font	font	font

software	softwar	software
included	includ	included
with	with	with
the	the	the
package	packag	package
,	,	,
these	these	these
fonts	font	font

can	can	can
be	be	be
used	use	used
with	with	with
either	either	either
the	the	the
morefonts	morefont	morefonts
typeface	typefac	typeface

program	program	program
,	,	,
adobe	adob	adobe
type	type	type
manager	manag	manager
,	,	,
truetype	truetyp	truetype
,	,	,
geoworks	geowork	geoworks
,	,	,
express	express	express
publisher	publish	publisher
and	and	and
coreldraw	coreldraw	coreldraw
.	.	.

o	o	o
an	an	an
ibm	ibm	ibm
pc	pc	pc
with	with	with
windows	window	window
3	3	3
.	.	.
1	1	1
and	and	and
a	a	a
hard	hard	hard
disk	disk	disk
is	is	is

required	requir	required
if	if	if
you	you	you
want	want	want
to	to	to
use	use	use
the	the	the
typefaces	typefac	typeface
in	in	in

truetype	truetyp	truetype
format	format	format
.	.	.

for	for	for
all	all	all
other	other	other
formats	format	format
,	,	,
an	an	an

ibm	ibm	ibm
pc	pc	pc
and	and	and
a	a	a
hard	hard	hard
disk	disk	disk
with	with	with
one	one	one
of	of	of
the	the	the
programs	program	program

listed	list	listed
above	abov	above
is	is	is
required	requir	required
.	.	.

if	if	if
you	you	you
are	are	are
interested	interest	interested
in	in	in
any	ani	any
of	of	of
these	these	these
programs	program	program
,	,	,
please	pleas	please
either	either	either
leave	leav	leave
me	me	me
email	email	email
or	or	or
call	call	call
kirk	kirk	kirk
peterson	peterson	peterson
at	at	at
(	(	(
303) 494-7951	303) 494-7951	303) 494-7951
,	,	,
anytime	anytim	anytime
.	.	.

if	if	if
i	i	i
don	don	don
'	'	'
t	t	t
answer	answer	answer
,	,	,
leave	leav	leave
me	me	me
a	a	a
message	messag	message
on	on	on
my	my	my
answering	answer	answering
machine	machin	machine
and	and	and
i	i	i
'	'	'
ll	ll	ll
call	call	call
you	you	you
back	back	back
.	.	.

i	i	i
will	will	will
pay	pay	pay
the	the	the
shipping	ship	shipping
on	on	on
all	all	all
of	of	of
the	the	the
programs	program	program
to	to	to
anywhere	anywher	anywhere
in	in	in
the	the	the
continental	continent	continental
united	unit	united
states	state	state
.	.	.

thank	thank	thank
you	you	you
!	!	!
