from	from	from
:	:	:
todamhyp@charles.unlv.edu	todamhyp@charles.unlv.edu	todamhyp@charles.unlv.edu
(	(	(
brian	brian	brian
m	m	m
.	.	.

huey	huey	huey
)	)	)
subject	subject	subject
:	:	:
krillean	krillean	krillean
photography	photographi	photography
originator	origin	originator
:	:	:
todamhyp@charles.cs.unlv.edu	todamhyp@charles.cs.unlv.edu	todamhyp@charles.cs.unlv.edu
organization	organ	organization
:	:	:
university	univers	university
of	of	of
nevada	nevada	nevada
at	at	at
las	las	la
vegas	vega	vega
,	,	,
college	colleg	college
of	of	of
engineering	engin	engineering
lines	line	line
:	:	:
20	20	20

i	i	i
think	think	think
that	that	that
'	'	'
s	s	s
the	the	the
correct	correct	correct
spelling	spell	spelling
.	.	.
.	.	.

i	i	i
am	am	am
looking	look	looking
for	for	for
any	ani	any
information	inform	information
/	/	/
supplies	suppli	supply
that	that	that
will	will	will
allow	allow	allow
do	do	do
-	-	-
it	it	it
-	-	-
yourselfers	yourself	yourselfers
to	to	to
take	take	take
krillean	krillean	krillean
pictures	pictur	picture
.	.	.

i	i	i
'	'	'
m	m	m
thinking	think	thinking
that	that	that
education	educ	education
suppliers	supplier	supplier
for	for	for
schools	school	school
might	might	might
have	have	have
a	a	a
appartus	appartus	appartus
for	for	for
sale	sale	sale
,	,	,
but	but	but
i	i	i
don	don	don
'	'	'
t	t	t
know	know	know
any	ani	any
of	of	of
the	the	the
companies	compani	company
.	.	.

any	ani	any
info	info	info
is	is	is
greatly	great	greatly
appreciated	appreci	appreciated
.	.	.

in	in	in
case	case	case
you	you	you
don	don	don
'	'	'
t	t	t
know	know	know
,	,	,
krillean	krillean	krillean
photography	photographi	photography
,	,	,
to	to	to
the	the	the
best	best	best
of	of	of
my	my	my
knowledge	knowledg	knowledge
,	,	,
involves	involv	involves
taking	take	taking
pictures	pictur	picture
of	of	of
an	an	an
(	(	(
most	most	most
of	of	of
the	the	the
time	time	time
)	)	)
organic	organ	organic
object	object	object
between	between	between
charged	charg	charged
plates	plate	plate
.	.	.

the	the	the
picture	pictur	picture
will	will	will
show	show	show
energy	energi	energy
patterns	pattern	pattern
or	or	or
spikes	spike	spike
around	around	around
the	the	the
object	object	object
photographed	photograph	photographed
,	,	,
and	and	and
depending	depend	depending
on	on	on
what	what	what
type	type	type
of	of	of
object	object	object
it	it	it
is	is	is
,	,	,
the	the	the
spikes	spike	spike
or	or	or
energy	energi	energy
patterns	pattern	pattern
will	will	will
vary	vari	vary
.	.	.

one	one	one
might	might	might
extrapolate	extrapol	extrapolate
here	here	here
and	and	and
say	say	say
that	that	that
this	this	this
proves	prove	prof
that	that	that
every	everi	every
object	object	object
within	within	within
the	the	the
universe	univers	universe
(	(	(
as	as	a
we	we	we
know	know	know
it	it	it
)	)	)
has	has	ha
its	it	it
own	own	own
energy	energi	energy
signature	signatur	signature
.	.	.

-	-	-
-	-	-

_	_	_
		
d_	d_	d_
		
i_	i_	i_
		
s_	s_	s_
		
c_	c_	c_
		
l_	l_	l_
		
a_	a_	a_
		
i_	i_	i_
		
m_	m_	m_
		
e_	e_	e_
		
r_	r_	r_
		
:	:	:
i	i	i
can	can	can
neither	neither	neither
confirm	confirm	confirm
nor	nor	nor
deny	deni	deny
any	ani	any
opinions	opinion	opinion
expressed	express	expressed
in	in	in
this	this	this
article	articl	article
directly	direct	directly
reflect	reflect	reflect
my	my	my
own	own	own
personal	person	personal
or	or	or
political	polit	political
views	view	view
and	and	and
furthermore	furthermor	furthermore
,	,	,
if	if	if
they	they	they
did	did	did
,	,	,
i	i	i
would	would	would
not	not	not
be	be	be
at	at	at
liberty	liberti	liberty
to	to	to
yield	yield	yield
such	such	such
an	an	an
explanation	explan	explanation
of	of	of
these	these	these
alleged	alleg	alleged
opinions	opinion	opinion
.	.	.
