from	from	from
:	:	:
guyd@austin.ibm.com	guyd@austin.ibm.com	guyd@austin.ibm.com
(	(	(
guy	guy	guy
dawson	dawson	dawson
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
why	whi	why
vesa	vesa	vesa
local	local	local
-	-	-
bus	bus	bus
?	?	?
?	?	?
?	?	?
?	?	?

originator	origin	originator
:	:	:
guyd@pal500.austin.ibm.com	guyd@pal500.austin.ibm.com	guyd@pal500.austin.ibm.com

organization	organ	organization
:	:	:
ibm	ibm	ibm
austin	austin	austin

lines	line	line
:	:	:
48	48	48

in	in	in
article	articl	article
<	<	<
1993apr15.133138.17369@cc.umontreal.ca	1993apr15.133138.17369@cc.umontreal.ca	1993apr15.133138.17369@cc.umontreal.ca
>	>	>
,	,	,
gregof@jsp.umontreal.ca	gregof@jsp.umontreal.ca	gregof@jsp.umontreal.ca
(	(	(
grego	grego	grego
filippo	filippo	filippo
)	)	)
writes	write	writes
:	:	:

>	>	>
hi	hi	hi
fellow	fellow	fellow
netters	netter	netters
,	,	,
>	>	>

>	>	>
i	i	i
have	have	have
a	a	a
question	question	question
for	for	for
you	you	you
.	.	.
.	.	.
.	.	.

i	i	i
am	am	am
gonna	gonna	gonna
buy	buy	buy
a	a	a
486dx2	486dx2	486dx2
-	-	-
66	66	66
mhz	mhz	mhz

>	>	>
with	with	with
vesa	vesa	vesa
local	local	local
-	-	-
bus	bus	bus
.	.	.

is	is	is
the	the	the
speed	speed	speed
benefit	benefit	benefit
that	that	that
great	great	great
?	?	?

>	>	>
would	would	would
it	it	it
be	be	be
wise	wise	wise
to	to	to
spend	spend	spend
on	on	on
a	a	a
local	local	local
-	-	-
bus	bus	bus
system	system	system
(	(	(
hd	hd	hd
controller	control	controller

>	>	>
and	and	and
graphic	graphic	graphic
card	card	card
)	)	)
for	for	for
normal	normal	normal
use	use	use
(	(	(
i	i	i
mean	mean	mean
i	i	i
won	won	won
'	'	'
t	t	t
use	use	use
it	it	it
for	for	for
a	a	a

>	>	>
server	server	server
!	!	!
!	!	!
)	)	)
?	?	?

>	>	>

>	>	>
also	also	also
,	,	,
