from	from	from
:	:	:
ian@nasser.eecs.nwu.edu	ian@nasser.eecs.nwu.edu	ian@nasser.eecs.nwu.edu
(	(	(
ian	ian	ian
sutherland	sutherland	sutherland
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
limiting	limit	limiting
govt	govt	govt
(	(	(
was	was	wa
re	re	re
:	:	:
employment	employ	employment
(	(	(
was	was	wa
re	re	re
:	:	:
why	whi	why
not	not	not
concentrate	concentr	concentrate
.	.	.
.	.	.
.	.	.
)	)	)

organization	organ	organization
:	:	:
eecs	eec	eec
department	depart	department
,	,	,
northwestern	northwestern	northwestern
university	univers	university

lines	line	line
:	:	:
40	40	40

in	in	in
article	articl	article
<	<	<
1993apr15.170731.8797@isc-br.isc-br.com	1993apr15.170731.8797@isc-br.isc-br.com	1993apr15.170731.8797@isc-br.isc-br.com
>	>	>
steveh@thor.isc-br.com	steveh@thor.isc-br.com	steveh@thor.isc-br.com
(	(	(
steve	steve	steve
hendricks	hendrick	hendricks
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
1993apr15.013651.11353@tijc02.uucp	1993apr15.013651.11353@tijc02.uucp	1993apr15.013651.11353@tijc02.uucp
>	>	>
pjs269@tijc02.uucp	pjs269@tijc02.uucp	pjs269@tijc02.uucp
(	(	(
paul	paul	paul
schmidt	schmidt	schmidt
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
steveh@thor.isc-br.com	steveh@thor.isc-br.com	steveh@thor.isc-br.com
(	(	(
steve	steve	steve
hendricks	hendrick	hendricks
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
:	:	:

>	>	>
>	>	>
:	:	:
as	as	a
noted	note	noted
in	in	in
another	anoth	another
thread	thread	thread
(	(	(
limiting	limit	limiting
govt	govt	govt
)	)	)
,	,	,
the	the	the
problem	problem	problem
libertarians	libertarian	libertarian
face	face	face

>	>	>
>	>	>
:	:	:
is	is	is
insuring	insur	insuring
that	that	that
the	the	the
"	"	"
limited	limit	limited
government	govern	government
"	"	"
they	they	they
seek	seek	seek
does	doe	doe
not	not	not
become	becom	become
the	the	the

>	>	>
>	>	>
:	:	:
tool	tool	tool
of	of	of
private	privat	private
interests	interest	interest
to	to	to
pursue	pursu	pursue
their	their	their
own	own	own
agenda	agenda	agenda
.	.	.

>	>	>
>	>	>
:	:	:

[	[	[
.	.	.
.	.	.
.	.	.
]	]	]

>	>	>
it	it	it
is	is	is
a	a	a
failure	failur	failure
of	of	of
libertarianism	libertarian	libertarianism
if	if	if
the	the	the
ideology	ideolog	ideology
does	doe	doe
not	not	not
provide	provid	provide
any	ani	any

>	>	>
reasonable	reason	reasonable
way	way	way
to	to	to
restrain	restrain	restrain
such	such	such
actions	action	action
other	other	other
than	than	than
utopian	utopian	utopian
dreams	dream	dream
.	.	.

you	you	you
seem	seem	seem
to	to	to
be	be	be
saying	say	saying
that	that	that
a	a	a
