from	from	from
:	:	:
jchen@wind.bellcore.com	jchen@wind.bellcore.com	jchen@wind.bellcore.com
(	(	(
jason	jason	jason
chen	chen	chen
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
is	is	is
msg	msg	msg
sensitivity	sensit	sensitivity
superstition	superstit	superstition
?	?	?

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
wind	wind	wind
.	.	.
bellcore	bellcor	bellcore
.	.	.
com	com	com

reply	repli	reply
-	-	-
to	to	to
:	:	:
jchen@ctt.bellcore.com	jchen@ctt.bellcore.com	jchen@ctt.bellcore.com

organization	organ	organization
:	:	:
bell	bell	bell
communications	communic	communication
research	research	research

lines	line	line
:	:	:
61	61	61

in	in	in
article	articl	article
<	<	<
1qmlgainnjab@hp-col.col.hp.com	1qmlgainnjab@hp-col.col.hp.com	1qmlgainnjab@hp-col.col.hp.com
>	>	>
,	,	,
cab@col.hp.com	cab@col.hp.com	cab@col.hp.com
(	(	(
chris	chris	chris
best	best	best
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>

|	|	|
>	>	>
jason	jason	jason
chen	chen	chen
writes	write	writes
:	:	:

|	|	|
>	>	>
>	>	>
now	now	now
here	here	here
is	is	is
a	a	a
new	new	new
one	one	one
:	:	:
vomiting	vomit	vomiting
.	.	.

my	my	my
guess	guess	guess
is	is	is
that	that	that
msg	msg	msg
becomes	becom	becomes
the	the	the
number	number	number
one	one	one

|	|	|
>	>	>
>	>	>
suspect	suspect	suspect
of	of	of
any	ani	any
problem	problem	problem
.	.	.

in	in	in
this	this	this
case	case	case
.	.	.

it	it	it
might	might	might
be	be	be
just	just	just
food	food	food
poisoning	poison	poisoning
.	.	.

but	but	but

|	|	|
>	>	>
>	>	>
if	if	if
you	you	you
heard	heard	heard
things	thing	thing
about	about	about
msg	msg	msg
,	,	,
you	you	you
may	may	may
think	think	think
it	it	it
must	must	must
be	be	be
it	it	it
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

|	|	|
>	>	>

|	|	|
>	>	>
yeah	yeah	yeah
,	,	,
it	it	it
might	might	might
,	,	,
if	if	if
you	you	you
only	onli	only
read	read	read
the	the	the
part	part	part
you	you	you
quoted	quot	quoted
.	.	.

you	you	you
somehow	somehow	somehow
left	left	left

|	|	|
>	>	>
out	out	out
the	the	the
part	part	part
about	about	about
"	"	"
we	we	we
all	all	all
ate	ate	ate
the	the	the
same	same	same
thing	thing	thing
.	.	.
"	"	"
changes	chang	change
things	thing	thing
a	a	a
bit	bit	bit
,	,	,
eh	eh	eh
?	?	?

food	food	food
poisoning	poison	poisoning
is	is	is
only	onli	only
one	one	one
of	of	of
the	the	the
many	mani	many
possible	possibl	possible
causes	caus	cause
.	.	.

yes	yes	yes
,	,	,
even	even	even
other	other	other
people	peopl	people
share	share	share
the	the	the
food	food	food
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
you	you	you
complain	complain	complain
that	that	that
people	peopl	people
blame	blame	blame
msg	msg	msg
automatically	automat	automatically
,	,	,
since	sinc	since
it	it	it
'	'	'
s	s	s
an	an	an
unknown	unknown	unknown
and	and	and

|	|	|
>	>	>
therefore	therefor	therefore
must	must	must
be	be	be
the	the	the
cause	caus	cause
.	.	.

it	it	it
is	is	is
equally	equal	equally
(	(	(
if	if	if
not	not	not
more	more	more
)	)	)
unreasonable	unreason	unreasonable
to	to	to

|	|	|
>	>	>
defend	defend	defend
it	it	it
,	,	,
automatically	automat	automatically
assuming	assum	assuming
that	that	that
it	it	it
can	can	can
'	'	'
t	t	t
be	be	be
the	the	the
culprit	culprit	culprit
.	.	.

boy	boy	boy
,	,	,
you	you	you
computer	comput	computer
people	peopl	people
only	onli	only
know	know	know
1s	1s	1
and	and	and
0s	0s	0
,	,	,
but	but	but
not	not	not
much	much	much
about	about	about
logic	logic	logic
.	.	.

:	:	:
-	-	-
)	)	)

no	no	no
.	.	.
