from	from	from
:	:	:
cka52397@uxa.cso.uiuc.edu	cka52397@uxa.cso.uiuc.edu	cka52397@uxa.cso.uiuc.edu
(	(	(
oriolefan	oriolefan	oriolefan
@	@	@
uiuc	uiuc	uiuc
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
and	and	and
america	america	america
'	'	'
s	s	s
team	team	team
is	is	is
.	.	.
.	.	.
.	.	.
.	.	.
but	but	but
why	whi	why
?	?	?

organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
urbana	urbana	urbana

lines	line	line
:	:	:
43	43	43

kingoz@camelot.bradley.edu	kingoz@camelot.bradley.edu	kingoz@camelot.bradley.edu
(	(	(
orin	orin	orin
roth	roth	roth
)	)	)
writes	write	writes
:	:	:

>	>	>
well	well	well
,	,	,
officially	offici	officially
it	it	it
'	'	'
s	s	s
the	the	the
braves	brave	brave
.	.	.

at	at	at
least	least	least
up	up	up
until	until	until
they	they	they
started	start	started
winning	win	winning

>	>	>
it	it	it
was	was	wa
.	.	.

are	are	are
they	they	they
still	still	still
,	,	,
officially	offici	officially
?	?	?

>	>	>
if	if	if
so	so	so
,	,	,
why	whi	why
?	?	?

and	and	and
how	how	how
did	did	did
they	they	they
receive	receiv	receive
this	this	this
label	label	label
?	?	?

>	>	>

>	>	>
unoffically	unoff	unoffically
,	,	,
but	but	but
without	without	without
a	a	a
doubt	doubt	doubt
,	,	,
america	america	america
'	'	'
s	s	s
team	team	team
is	is	is
the	the	the
cubs	cub	cub
.	.	.

why	whi	why
?	?	?

>	>	>
well	well	well
,	,	,
my	my	my
guess	guess	guess
is	is	is
because	becaus	because
america	america	america
loves	love	love
underdogs	underdog	underdog
.	.	.

every	everi	every
year	year	year
,	,	,
no	no	no
matter	matter	matter

>	>	>
the	the	the
cubs	cub	cub
'	'	'
talent	talent	talent
or	or	or
the	the	the
predictions	predict	prediction
,	,	,
they	they	they
never	never	never
(	(	(
as	as	a
close	close	close
to	to	to
never	never	never
as	as	a

>	>	>
possible	possibl	possible
)	)	)
win	win	win
anything	anyth	anything
.	.	.

over	over	over
the	the	the
years	year	year
,	,	,
as	as	a
the	the	the
losing	lose	losing
has	has	ha
mounted	mount	mounted
,	,	,
america	america	america

>	>	>
has	has	ha
fallen	fallen	fallen
in	in	in
love	love	love
with	with	with
these	these	these
perennial	perenni	perennial
losers	loser	loser
.	.	.

the	the	the
cubs	cub	cub
have	have	have
more	more	more
fans	fan	fan

>	>	>
in	in	in
chicago	chicago	chicago
then	then	then
some	some	some
teams	team	team
do	do	do
worldwide	worldwid	worldwide
.	.	.

the	the	the
cubs	cub	cub
have	have	have
more	more	more
fans	fan	fan

>	>	>
worldwide	worldwid	worldwide
than	than	than
most	most	most
of	of	of
the	the	the
teams	team	team
in	in	in
their	their	their
division	divis	division
combined	combin	combined
.	.	.

>	>	>
an	an	an
aura	aura	aura
of	of	of
excitement	excit	excitement
surrounds	surround	surround
the	the	the
cubs	cub	cub
at	at	at
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
season	season	season

>	>	>
like	like	like
no	no	no
one	one	one
else	els	else
.	.	.

(	(	(
including	includ	including
the	the	the
ws	ws	w
champs	champ	champ
)	)	)
it	it	it
must	must	must
be	be	be
that	that	that
eternal	etern	eternal
hope	hope	hope
.	.	.

>	>	>
"	"	"
this	this	this
is	is	is
the	the	the
year	year	year
.	.	.

they	they	they
'	'	'
ve	ve	ve
got	got	got
the	the	the
talent	talent	talent
.	.	.

they	they	they
'	'	'
re	re	re
off	off	off
to	to	to
a	a	a
good	good	good
start	start	start
.	.	.

>	>	>
they	they	they
'	'	'
ve	ve	ve
got	got	got
the	the	the
pitching	pitch	pitching
(	(	(
or	or	or
hitting	hit	hitting
,	,	,
or	or	or
whatever	whatev	whatever
their	their	their
strong	strong	strong
point	point	point
is	is	is

>	>	>
at	at	at
the	the	the
time	time	time
)	)	)
.	.	.
"	"	"
it	it	it
'	'	'
s	s	s
that	that	that
inevitability	inevit	inevitability
that	that	that
the	the	the
cubs	cub	cub
will	will	will
eventually	eventu	eventually

>	>	>
win	win	win
the	the	the
ws	ws	w
again	again	again
.	.	.

when	when	when
?	?	?

only	onli	only
god	god	god
knows	know	know
.	.	.

since	sinc	since
it	it	it
'	'	'
s	s	s
been	been	been
so	so	so
long	long	long
,	,	,
it	it	it

>	>	>
could	could	could
come	come	come
at	at	at
any	ani	any
time	time	time
,	,	,
or	or	or
it	it	it
could	could	could
be	be	be
