from	from	from
:	:	:
m14494@mwvm.mitre.org	m14494@mwvm.mitre.org	m14494@mwvm.mitre.org
(	(	(
mike	mike	mike
white	white	white
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
expen	expen	expen
$	$	$
ive	ive	ive
motorola	motorola	motorola
handheld	handheld	handheld
radio	radio	radio
for	for	for
peanuts	peanut	peanut
!	!	!

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
smassimini	smassimini	smassimini
-	-	-
mac	mac	mac
.	.	.
mitre	mitr	mitre
.	.	.
org	org	org

organization	organ	organization
:	:	:
the	the	the
mitre	mitr	mitre
corporation	corpor	corporation

distribution	distribut	distribution
:	:	:
na	na	na

lines	line	line
:	:	:
30	30	30

agent_x	agent_x	agent_x
writes	write	writes
:	:	:

>	>	>
i	i	i
can	can	can
no	no	no
longer	longer	longer
use	use	use
anything	anyth	anything
japanese	japanes	japanese
.	.	.

kenwood	kenwood	kenwood
,	,	,
yeasu	yeasu	yeasu
,	,	,
icom	icom	icom
,	,	,
alinco	alinco	alinco
,	,	,
its	it	it

>	>	>
all	all	all
junk	junk	junk
.	.	.

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

well	well	well
,	,	,
i	i	i
'	'	'
m	m	m
not	not	not
sure	sure	sure
i	i	i
'	'	'
d	d	d
go	go	go
quite	quit	quite
that	that	that
far	far	far
,	,	,
but	but	but
i	i	i
agree	agre	agree
that	that	that
motorola	motorola	motorola
gear	gear	gear
is	is	is
of	of	of
better	better	better
quality	qualiti	quality
.	.	.

the	the	the
question	question	question
is	is	is
how	how	how
much	much	much
that	that	that
quality	qualiti	quality
is	is	is
worth	worth	worth
to	to	to
a	a	a
ham	ham	ham
in	in	in
amateur	amateur	amateur
service	servic	service
,	,	,
not	not	not
commercial	commerci	commercial
service	servic	service

>	>	>
this	this	this
radio	radio	radio
can	can	can
hear	hear	hear
a	a	a
repeater	repeat	repeater
thats	that	thats
40	40	40
miles	mile	mile
away	away	away
without	without	without

>	>	>
an	an	an
antenna	antenna	antenna
.	.	.

