from	from	from
:	:	:
jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu
(	(	(
the	the	the
one	one	one
and	and	and
only	onli	only
)	)	)

subject	subject	subject
:	:	:
nicknames	nicknam	nickname

summary	summari	summary
:	:	:
was	was	wa
re	re	re
:	:	:
new	new	new
member	member	member

organization	organ	organization
:	:	:
salvation	salvat	salvation
army	armi	army
draft	draft	draft
board	board	board

lines	line	line
:	:	:
36	36	36

in	in	in
article	articl	article
<	<	<
ufnyj2a00voqit9vpa@andrew.cmu.edu	ufnyj2a00voqit9vpa@andrew.cmu.edu	ufnyj2a00voqit9vpa@andrew.cmu.edu
>	>	>
nm0w+@andrew.cmu.edu	nm0w+@andrew.cmu.edu	nm0w+@andrew.cmu.edu
(	(	(
nanci	nanci	nanci
ann	ann	ann
miller	miller	miller
)	)	)
writes	write	writes
:	:	:

>	>	>
jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu	jcopelan@nyx.cs.du.edu
(	(	(
the	the	the
one	one	one
and	and	and
only	onli	only
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
welcome	welcom	welcome
.	.	.

i	i	i
am	am	am
the	the	the
official	offici	official
keeper	keeper	keeper
of	of	of
the	the	the
list	list	list
of	of	of
nicknames	nicknam	nickname
that	that	that
people	peopl	people

>	>	>
>	>	>
are	are	are
known	known	known
by	by	by
on	on	on
alt	alt	alt
.	.	.
atheism	atheism	atheism
(	(	(
didn	didn	didn
'	'	'
t	t	t
know	know	know
we	we	we
had	had	had
such	such	such
a	a	a
list	list	list
,	,	,
did	did	did
you	you	you
)	)	)
.	.	.

>	>	>
>	>	>
your	your	your
have	have	have
been	been	been
awarded	award	awarded
the	the	the
nickname	nicknam	nickname
of	of	of
"	"	"
buckminster	buckminst	buckminster
.	.	.
"	"	"
so	so	so
the	the	the
next	next	next
time	time	time

>	>	>
>	>	>
you	you	you
post	post	post
an	an	an
article	articl	article
,	,	,
sign	sign	sign
with	with	with
your	your	your
nickname	nicknam	nickname
like	like	like
so	so	so
:	:	:

>	>	>
>	>	>
dave	dave	dave
"	"	"
buckminster	buckminst	buckminster
"	"	"
fuller	fuller	fuller
.	.	.

thanks	thank	thanks
again	again	again
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
jim	jim	jim
"	"	"
humor	humor	humor
means	mean	mean
never	never	never
having	have	having
to	to	to
say	say	say
you	you	you
'	'	'
re	re	re
sorry	sorri	sorry
"	"	"
copeland	copeland	copeland

>	>	>

>	>	>
of	of	of
course	cours	course
,	,	,
the	the	the
list	list	list
has	has	ha
to	to	to
agree	agre	agree
with	with	with
the	the	the
nickname	nicknam	nickname
laws	law	law
laid	laid	laid
down	down	down
by	by	by
the	the	the

>	>	>
gipu	gipu	gipu
almost	almost	almost
2000	2000	2000
years	year	year
ago	ago	ago
(	(	(
you	you	you
know	know	know
.	.	.
.	.	.
.	.	.

the	the	the
9	9	9
of	of	of
them	them	them
that	that	that
were	were	were
written	written	written
on	on	on

>	>	>
the	the	the
iron	iron	iron
tablets	tablet	tablet
that	that	that
melted	melt	melted
once	onc	once
and	and	and
had	had	had
to	to	to
be	be	be
reinscribed	reinscrib	reinscribed
?	?	?
)	)	)
.	.	.

since	sinc	since
i	i	i
am	am	am

>	>	>
a	a	a
prophet	prophet	prophet
of	of	of
the	the	the
gipu	gipu	gipu
i	i	i
decree	decre	decree
that	that	that
you	you	you
should	should	should
post	post	post
the	the	the
whole	whole	whole
list	list	list
of	of	of

>	>	>
nicknames	nicknam	nickname
for	for	for
the	the	the
frequent	frequent	frequent
posters	poster	poster
here	here	here
!	!	!

if	if	if
the	the	the
first	first	first
rule	rule	rule
of	of	of
humor	humor	humor
is	is	is
never	never	never
having	have	having
to	to	to
say	say	say
you	you	you
'	'	'
re	re	re
sorry	sorri	sorry
then	then	then
the	the	the
second	second	second
rule	rule	rule
must	must	must
be	be	be
never	never	never
having	have	having
to	to	to
explain	explain	explain
yourself	yourself	yourself
.	.	.

few	few	few
things	thing	thing
are	are	are
worse	wors	worse
that	that	that
a	a	a
joke	joke	joke
explained	explain	explained
.	.	.

in	in	in
spite	spite	spite
of	of	of
this	this	this
,	,	,
and	and	and
because	becaus	because
of	of	of
requests	request	request
for	for	for
me	me	me
to	to	to
post	post	post
my	my	my
list	list	list
o	o	o
'	'	'
nicknames	nicknam	nickname
,	,	,
i	i	i
must	must	must
admit	admit	admit
that	that	that
no	no	no
such	such	such
list	list	list
exists	exist	exists
.	.	.

it	it	it
was	was	wa
simply	simpli	simply
a	a	a
plot	plot	plot
device	devic	device
,	,	,
along	along	along
with	with	with
me	me	me
being	be	being
the	the	the
keeper	keeper	keeper
o	o	o
'	'	'
the	the	the
list	list	list
,	,	,
to	to	to
make	make	make
the	the	the
obvious	obvious	obvious
play	play	play
on	on	on
the	the	the
last	last	last
name	name	name
of	of	of
fuller	fuller	fuller
and	and	and
to	to	to
advance	advanc	advance
the	the	the
idea	idea	idea
that	that	that
such	such	such
a	a	a
list	list	list
should	should	should
be	be	be
made	made	made
.	.	.

i	i	i
assumed	assum	assumed
that	that	that
the	the	the
ol	ol	ol
'	'	'
timers	timer	timer
would	would	would
recognize	recogn	recognize
it	it	it
for	for	for
what	what	what
it	it	it
is	is	is
.	.	.

nevertheless	nevertheless	nevertheless
,	,	,
how	how	how
about	about	about
a	a	a
list	list	list
o	o	o
'	'	'
nicknames	nicknam	nickname
for	for	for
alt	alt	alt
.	.	.
atheism	atheism	atheism
posters	poster	poster
?	?	?

if	if	if
you	you	you
think	think	think
of	of	of
a	a	a
good	good	good
one	one	one
,	,	,
just	just	just
post	post	post
it	it	it
and	and	and
see	see	see
if	if	if
others	other	others
like	like	like
it	it	it
.	.	.

we	we	we
could	could	could
start	start	start
with	with	with
those	those	those
posters	poster	poster
who	who	who
annoy	annoy	annoy
us	us	u
the	the	the
most	most	most
,	,	,
like	like	like
