from	from	from
:	:	:
bm967@cleveland.freenet.edu	bm967@cleveland.freenet.edu	bm967@cleveland.freenet.edu
(	(	(
david	david	david
kantrowitz	kantrowitz	kantrowitz
)	)	)

subject	subject	subject
:	:	:
can	can	can
you	you	you
share	share	share
one	one	one
monitor	monitor	monitor
w	w	w
/	/	/
2	2	2
cpus	cpus	cpu
?	?	?

organization	organ	organization
:	:	:
case	case	case
western	western	western
reserve	reserv	reserve
university	univers	university
,	,	,
cleveland	cleveland	cleveland
,	,	,
ohio	ohio	ohio
(	(	(
usa	usa	usa
)	)	)

lines	line	line
:	:	:
6	6	6

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
slc4	slc4	slc4
.	.	.
ins	in	in
.	.	.
cwru	cwru	cwru
.	.	.
edu	edu	edu

i	i	i
have	have	have
a	a	a
centris	centri	centris
610	610	610
&	&	&
want	want	want
to	to	to
get	get	get
an	an	an
ibm	ibm	ibm
machine	machin	machine
as	as	a
well	well	well
.	.	.

to	to	to
save	save	save
space	space	space
on	on	on
my	my	my
desk	desk	desk
,	,	,
i	i	i
would	would	would
like	like	like
to	to	to
use	use	use
one	one	one
monitor	monitor	monitor
for	for	for
both	both	both
,	,	,
with	with	with
a	a	a
switch	switch	switch
-	-	-
box	box	box
.	.	.

does	doe	doe
anyone	anyon	anyone
know	know	know
of	of	of
a	a	a
way	way	way
to	to	to
do	do	do
this	this	this
?	?	?
